a,b,e,f,c,d
0.07497703057711767,0.9562522412884471,0.5788394028966598,0.4739994090331341,0.11010830648406615,0.18966980709305278
0.36112643983204207,0.7439246938757357,0.0805061959633109,0.9640314415916585,0.9935658591146437,0.8581883990427909
0.6952375566014265,0.9848034391807432,0.9379108506081288,0.900531675691092,0.8255287047137428,0.9226377470961702
0.1521937324844161,0.9335995550503507,0.8791123306730794,0.8193435165009053,0.8620837920413832,0.8449089983575407
0.06408892013458149,0.9946769283044822,0.8819575542607406,0.9608995297790001,0.9665748912527757,0.9672787178240156
0.3403555995375142,0.9185154775604318,0.9472077555077175,0.9598611631499078,0.9125538245345088,0.9815145529586153
0.8834470994693125,0.4446086158508686,0.8814890257296654,0.7645303314298854,0.9359922754362862,0.9215436238680657
0.9279072814841359,0.1521819940791399,0.9950074233678426,0.6664393460303559,0.7520423255770503,0.5892118911795821
0.8411730098679793,0.8730462299642378,0.6531885877112393,0.32115888178025637,0.27372488594190303,0.3933041044531334
0.8838945235875068,0.790726990632607,0.4955202202336208,0.8128225025163177,0.8278136817936255,0.8449466298652286
0.9443422380124549,0.7695911599585,0.9829136483355398,0.9887572047717323,0.8410907185497785,0.9020605392876315
0.9172801863392877,0.9738056782555133,0.9629458032521483,0.9762781667001261,0.9791068786566983,0.8651572124993836
0.2535042801335992,0.8866761912177147,0.9349477130068118,0.878897304404421,0.9148123764312288,0.9616290565391014
0.32126209807427364,0.8501649051126814,0.9018297407325926,0.7791666422158517,0.95113821052838,0.8349859659999859
0.055651543246667816,0.0417994122592902,0.9449738333895729,0.8340356975391917,0.9854011707247019,0.9802697386404751
0.36783147553305284,0.3501870468487221,0.975530223160197,0.6826362970328247,0.1708595440797158,0.042795090493117104
0.6376708486669954,0.2732794959487636,0.5055910969679379,0.16370269163748427,0.7294681308601144,0.5951637127207989
0.23727043135885464,0.011167804060550016,0.0974393600294561,0.0004200366704088798,0.522871516605296,0.07013609974514286
0.5389174618962637,0.17379773275776664,0.4814314823331634,0.6622473719465019,0.6968902720146817,0.9880889455633604
0.9103635056060673,0.4284096966138732,0.14611073174988137,0.8814562537290448,0.12798538371533413,0.8681573741494799
0.9944021704405775,0.8340304377301185,0.9130179565527272,0.996568708443637,0.3827533090097588,0.8152958971588824
0.9209121778979115,0.9160442734718928,0.8220180668216599,0.843603838401851,0.9657890654809909,0.9056512397045282
0.9420012521526261,0.722504020442094,0.895692023511672,0.8561380031341133,0.9473933100252627,0.922722705969554
0.975060083112627,0.7556297861106891,0.8498871882247327,0.8259876109250941,0.9321067919455654,0.856382659629193
