a,b,d,c,f,e
0.76898322627035,0.5500659793512496,0.8155444671298904,0.6576676237561251,0.7406766411527954,0.4441838486447218
0.9790860625791908,0.8836451201057305,0.8150070056181165,0.5637147605420552,0.7412898238806093,0.23940978238408156
0.9233270603239668,0.9429932485926088,0.8725342880164976,0.7450811613407368,0.9069241065251836,0.15941308294510936
0.9971991402992448,0.8317748396805192,0.8398445240603456,0.44127733837913397,0.8526782935613962,0.8995465636618903
0.977600367497897,0.8531269358594512,0.911356922734239,0.7546076100363832,0.8435179105498677,0.9461104935384615
0.8584649763461574,0.9772329642789133,0.8363418640110207,0.8196965716706566,0.846427909738392,0.9546242589932036
0.712389122712455,0.9257571503558625,0.9721183035957641,0.6961675167985883,0.9165838530621743,0.9535268457499942
0.7301961814436061,0.10885582798606185,0.9903387182543048,0.9105304995941367,0.9355966011440929,0.605512094917068
0.9385316795292851,0.340545087169378,0.792886638896519,0.9573237006549588,0.09146805336396949,0.2596512710786681
0.7603827617005694,0.9469586604351699,0.7902333765885741,0.9495775254210405,0.5410035169057479,0.9965211505048595
0.8095508361275534,0.8817467858504311,0.9084891367908842,0.8293290969325877,0.8525042090798209,0.9674644761805531
0.8095578930915864,0.9826420985445652,0.95652826963414,0.9926165729886369,0.910288627859468,0.8222436229139338
0.7368989194979874,0.8966980238841286,0.991488797770006,0.952142003234393,0.9238633834125642,0.8691103783317016
0.7866903922476336,0.9069157647622146,0.8515043429724276,0.6776252217258943,0.8253354520986251,0.9085666113438225
0.7908120765976644,0.8833726980849145,0.9468393398580005,0.5291046502544019,0.9103905143308528,0.5940723939896699
0.9588504872244856,0.29856162908472106,0.8730869321985226,0.9463881321447358,0.8561364968408725,0.4369109914643168
0.7917664039284488,0.15207980088584547,0.8704418491221734,0.8984487475009912,0.1009219003380423,0.8725213167729353
0.8255308115745723,0.8516895487981799,0.9180577302141637,0.8608541608147899,0.0235181401857993,0.8508631414132141
0.8559659422035273,0.9908579957819121,0.869579301035535,0.9945876020389236,0.9050567798953207,0.8394895861684925
0.8808852717448709,0.9178108318163251,0.8012091040735919,0.6837933208809058,0.8327379388124742,0.9288898223653498
0.7108440823912915,0.9014984063698562,0.8629301998394799,0.7782835660225389,0.9955095510477625,0.9553316572644215
0.9665822522450191,0.8887919727149578,0.8937582071262951,0.8431468102018472,0.9730149754014359,0.9917804305642145
0.890172417554276,0.23225946754998003,0.9214090780286215,0.8298778903468537,0.9639653882264219,0.36777565086977426
0.7536487148672345,0.7581752375718351,0.9441691813035465,0.3828564631221532,0.8794432796759715,0.5769141599624708
0.9921742422329733,0.9768830517939058,0.8273861214816886,0.40072277358485436,0.0842775200341519,0.5816567148606606
0.7490218742016627,0.9601757311419974,0.8479079875437842,0.9818338621082624,0.7290018955687687,0.25914822337780796
0.963884248794544,0.9784709808913208,0.9073033371286796,0.8005387700041996,0.9883890110739872,0.901260769924547
0.9700611819171354,0.932257708983948,0.7955947080171756,0.7746125075923583,0.8568390590196879,0.9787147792578296
0.9381512000536172,0.8890313409544258,0.8592227424009802,0.783618813848954,0.9426902394257579,0.9476727287390304
0.9473829633281519,0.47681352091084794,0.9653312399780856,0.7484059235682144,0.9100128947996847,0.8000274936822773
0.8006048050629964,0.7930917818282415,0.8230413600508427,0.7963774383883767,0.9614568101271314,0.9817371671608592
0.8818148786342013,0.9513152881978808,0.8994262703711787,0.10315402153240263,0.9285904162672575,0.8510805500054399
0.7932619742179564,0.871046188587688,0.8851859909890127,0.6639235078891113,0.5485953239699297,0.19155028691047316
0.7286361696776097,0.9407171769502463,0.8654386814014593,0.9892883847173912,0.5657134479020848,0.6354248133272893
0.7508654188793336,0.892844594342216,0.9386516729120555,0.9084700296020747,0.9462011758758339,0.8056887985803719
0.9921460388712908,0.7641106742894268,0.9968875734066553,0.7674021701555137,0.9143133663320879,0.8041490859721213
0.9253340449349584,0.49668493198213454,0.9120068827506309,0.5027731629610109,0.8410801480456035,0.9167547120336275
0.9820877587294093,0.8880018326949967,0.8842818747972478,0.2928438419413975,0.8062989039921542,0.9687063261937815
0.989400391260398,0.8469346685273621,0.838008056855908,0.5280258274425644,0.9720778357377463,0.8599182041271053
0.9655775963313018,0.8536220450765032,0.8087168927245153,0.7989533306493941,0.8822797499606091,0.9032685499743103
