a,b,e,c,d,f
0.300397184615963,0.389942890463538,0.6265193835721979,0.5271355865978814,0.9375705946935132,0.9566867661082651
0.7197021843633468,0.5432892970275175,0.3820668120328257,0.6247565118959876,0.9168803075693622,0.9039491720697272
0.5152120685381775,0.06900638983316892,0.3479288995453613,0.2194977050888874,0.8968103838991125,0.9959352030330406
0.21593472994032098,0.6789112017559767,0.0680507444086773,0.5784795368791054,0.7246249729249444,0.9693902254237584
0.5568271205851316,0.0912878575919211,0.2979141416191092,0.0416242524688057,0.9179644253577421,0.9389976385138679
0.5019067510141826,0.5035051930080323,0.10929648470938286,0.34012948970262774,0.7278363758496773,0.9742940852151684
0.2846787172091176,0.23533677410154666,0.6439193507314811,0.4409954413745228,0.8969445011057,0.902646715115882
0.7861082858424159,0.07412867920570648,0.5536622557662411,0.14830581465257273,0.8129136595890618,0.947665997958496
0.40067737511804347,0.42588258565068177,0.5649853900924844,0.5925590423313477,0.9898715434424463,0.9235108195572697
0.4121893259761891,0.27609831965754644,0.11869216662767738,0.7912625847061376,0.9411880400368371,0.9235250851591297
0.42056503382374016,0.07713615558256852,0.4970066244345555,0.6417250805654672,0.9948783073593477,0.9674401929790266
0.4035065578778669,0.24900675880784853,0.03277763284601925,0.1724668715732974,0.8006272834877608,0.9453779912647189
0.29366978659738574,0.5037493592725002,0.09196515477842167,0.6162775184685201,0.9265260684493823,0.9300072155533695
0.6532318623669027,0.3158328004374727,0.4406604200648124,0.8233341375518101,0.9727406691918052,0.9880629333821718
0.6227999367538417,0.3615786640049755,0.775166407659931,0.45488265784300336,0.7784153722295976,0.9922775530874702
0.20447420214176568,0.4736528941180229,0.09943971917077489,0.03698728399764071,0.7144196379190463,0.9441310786546246
0.7956921838457615,0.1858511370328756,0.048668383376891375,0.39943391411639206,0.7278728998357396,0.9036093484000243
0.5151465035649067,0.10984728574719564,0.46185037093863557,0.42321694954759015,0.7834116011666994,0.9707713061406812
0.39224805753301883,0.5035058326251197,0.3605329623534234,0.7660118067546301,0.8996921550815338,0.9720353384159065
0.29793942715692906,0.46087856110702186,0.05672576902448287,0.19782506215907142,0.9734794766081047,0.9451374694935075
0.040993945647172826,0.32320933572264476,0.21959284884396035,0.5174129277627173,0.9568850108060049,0.9634325999549005
0.2235936615618673,0.24169120754572485,0.34974473679467455,0.7377592608518061,0.8366426835753293,0.9799844220951122
0.26465866334802096,0.24078515969040384,0.27692638485569987,0.8057294298320384,0.8134267608269832,0.9704208993489193
0.6348508240351682,0.012275299222397429,0.3967477146617096,0.11842505222894414,0.8819288223788302,0.9350661086480365
0.5903875397530999,0.6625080306265309,0.5277499272222663,0.8266886947756715,0.789702248312818,0.9697718475935113
0.7649593395763193,0.2563148491247075,0.6169763693319799,0.7113944167401282,0.8737468707995593,0.9405728951968426
0.21938021473803263,0.6906520642331564,0.02006867171853718,0.24393843860930087,0.8765500918593314,0.9612102662079136
0.3115923691733116,0.3651467531152389,0.04212525792902459,0.7876345759930887,0.8460346501489858,0.9433833090304192
0.7582728380731357,0.09505338522907629,0.8288412601191988,0.3090049965775727,0.9677724616653829,0.9182199810516706
0.5261344516411927,0.05099201912776061,0.7821061474082254,0.1271993376484164,0.998319060601162,0.9092726337457757
0.785757059427052,0.41086756930572643,0.14328656570580084,0.07963159753464512,0.9108566680589407,0.9590836557022289
0.1453018512447531,0.14711297334627682,0.28720684043855615,0.8437478078036715,0.968200082481222,0.9586052772728748
0.5773872467608145,0.17664384104556224,0.2726436512387769,0.2967513920851297,0.9434745386030624,0.9494112950973725
0.02225858147533998,0.6388078726302697,0.4715764190620443,0.31750569245836907,0.733603601933355,0.9188693915353164
0.2965511903585006,0.4378533275555458,0.7985935036050495,0.7467052362074341,0.865943295289308,0.9103903305591741
