a,b,f,c,d,e
0.16459501951002933,0.861126542055298,0.5369634553789019,0.4312446474649453,0.8984675529912198,0.3101276178875694
0.10265986916044505,0.8839736769265853,0.8590217334659253,0.9887472838221003,0.8980348223346073,0.019886889097871757
0.2367152754581095,0.9188428588072411,0.44176634195006637,0.8742915454057942,0.9529776975002341,0.9727404679025335
0.03437257905778478,0.818354827195248,0.8635465471822271,0.06818342934400169,0.9168667462867113,0.9613873823587298
0.6703544456558742,0.9415610551115433,0.2524621655576256,0.979003228994873,0.9086706920656362,0.9506970631492739
0.2561090736376152,0.8894921252323095,0.361688994992508,0.9563750070411378,0.8930815141683953,0.9696310121703109
0.17913881397568962,0.8962438725882861,0.6368630778363604,0.8901826828346139,0.9369879386859958,0.7515532496516961
0.458002470194266,0.9859341770053456,0.03195622503757319,0.973754343153898,0.9906189812044327,0.9934274243225902
0.26780665880615195,0.8155527357317098,0.14229575845070339,0.9377799605740095,0.9364339767035514,0.5741662282378802
0.3189430290450454,0.9210991848404727,0.712791503809853,0.9750320138443599,0.9300090508425246,0.01047768746444891
0.40095385769358205,0.903734908066096,0.7901659246829166,0.05406750777191278,0.9314341573185795,0.789503236027284
0.6685930813057894,0.9228121880556347,0.44884103346330423,0.30692288820368374,0.9501193567120945,0.8282760850606027
0.7222267312345036,0.8971562025533771,0.6307803310929598,0.9839615112000615,0.9838482490887038,0.9649992341746274
0.32909692375383276,0.9239784504853947,0.5443150972509825,0.9011486499588358,0.9781973678974593,0.3326687572795216
0.5872906338453742,0.9901036500707487,0.04479528563271198,0.9054295061946955,0.9182290312143593,0.3529945977185752
0.6033245104138275,0.8973631701523079,0.5054142851944117,0.9685315259898984,0.9135668564996414,0.9038277275058472
0.3176755623891847,0.9906348121032176,0.4091494088400366,0.9570628463610705,0.9476960585848413,0.8319492526162521
0.19516658863665,0.9328228918603712,0.3430955590512327,0.997072609033609,0.9293901064123361,0.760576699484314
0.2595218713765567,0.9378216221912866,0.4355057337263368,0.8689109846353915,0.9682527648822217,0.9415762530540739
0.059545984185983364,0.9470354678173465,0.13368570777616387,0.8561047903732896,0.9691290721116257,0.8528561407251902
0.10224812927241528,0.9029110002325907,0.39159994494489814,0.9544735863748077,0.918666107590099,0.877093201946687
0.13340586476093158,0.9681395835653359,0.42636095984795264,0.8846852401777108,0.9133881347054861,0.4549631185543759
0.5117187645572148,0.8974106287994237,0.8317549233855889,0.9106782513785326,0.9905973895787429,0.3094829833487296
0.6378942242903147,0.9937864547192197,0.2586721388854746,0.9819144711301152,0.902215027805585,0.7874083182837606
0.08184385359179515,0.8975395532779142,0.6526351153486033,0.913820659041459,0.9311983220589609,0.7827118259715093
0.04066247000273378,0.8273597102675948,0.31357449813422184,0.8829510647853636,0.9875951396029707,0.9705431871884391
0.6395151795450548,0.8191509050862393,0.0008045804937885093,0.8540192159697642,0.9633120510077593,0.8144439608474281
0.7174666545088685,0.9652996162993677,0.3189627638225459,0.1066082525233345,0.8900106877025985,0.9001099794086268
0.16551988777218293,0.8654855553557598,0.5865448548940421,0.5929261261616043,0.9531700521838039,0.8271311382462859
0.3407598523011675,0.8409872241870295,0.36778480858769536,0.9422187574538421,0.9660224375405405,0.6273750216070462
0.42387191015417724,0.8683392537037938,0.3697383086400787,0.953024051816129,0.9689567001234688,0.7377483398407215
0.6053120535763769,0.8214260749391837,0.8065896751818715,0.9537585708715185,0.9252549849577657,0.9428951034947788
0.23242279307888516,0.9686897609844803,0.7215835062041365,0.9300034658929052,0.9370126441785359,0.9473851388138
0.07836163233215444,0.8547472507062864,0.12782005417257228,0.9675900921130721,0.9911049308107543,0.837000016995659
0.034289440962164755,0.8995201383241128,0.6524569857080995,0.9706676237942776,0.9271734959724873,0.8354246117532803
0.7238834910197373,0.9731714243021932,0.417386527595589,0.23876187376008623,0.9271122190426108,0.9206533937500241
0.14512821039014093,0.8527610328152608,0.5863642112314397,0.4210272292831424,0.9228509748499886,0.9002836191632787
0.5874239598962473,0.9635000697399926,0.25460914486570335,0.8820839040614713,0.9526339400073595,0.15155766115195046
0.24065157348559477,0.9960242944607545,0.4962355072586914,0.9005812469325444,0.9474063211597891,0.0017639325696154895
0.5779412964225683,0.9477104618744023,0.04952551246700684,0.8929470439492985,0.9429543917954312,0.8478819878495161
0.029608437985168157,0.8552285045365665,0.4302421546877023,0.9272366281131025,0.9085939169938889,0.47654323267100696
0.4550829558861732,0.8136321774163029,0.3875347558689029,0.9649969720161038,0.9413842886171057,0.45663822927238973
0.609915751419095,0.9310693429273517,0.04577586500185787,0.8950746205858936,0.8956414774114911,0.1699788948645917
0.037115138623747414,0.8239520491436089,0.8050789441729232,0.44943007628607246,0.9732700584098756,0.9118385174407703
0.481487567412377,0.9682456929502898,0.8061498997551528,0.3076476592429311,0.992373073911096,0.9283010753326683
0.08403103964683074,0.8147763456413725,0.8639004011083666,0.8875758243796006,0.9371131585359582,0.8350013352604402
0.23766643321428105,0.9592239567714842,0.39179532356302815,0.956583614453535,0.9184829437583605,0.790954590282295
0.12757749802024657,0.801113808018343,0.7962163296028617,0.9193371423129781,0.9252808819453731,0.8282913713264684
0.03445271789360537,0.8990560479200953,0.4767463772268662,0.9464688140597708,0.983222074737947,0.795601674422626
