a,b,c,e,d,f
0.7733166050138505,0.7211593091833849,0.8114801183176372,0.23187133210278738,0.3918305192901581,0.2481294950609851
0.8320226999767482,0.9789976661057564,0.9201993858297745,0.9503202673501855,0.07276611131621061,0.041744939905519654
0.9937982576338409,0.8142480412535166,0.9526653069690141,0.9648363136756003,0.9240858631212496,0.3290244322566856
0.872103046599718,0.8463780204655253,0.8602315432340931,0.9522581505660921,0.9545693469126755,0.992080763044834
0.8838741322738718,0.8169983107222833,0.8370023406557362,0.8438929826350189,0.9759790056345274,0.9756366908159688
0.7958446957522876,0.958359394758877,0.9287885963056954,0.751765481833225,0.9588387182568088,0.8752704988364614
0.9314968305901601,0.938746375151325,0.8524967270316086,0.13002986198176497,0.9899322595016973,0.9489955122826423
0.9545434298576796,0.9973893962191803,0.7220350497407623,0.3961173172735992,0.9344961281301738,0.9984226808865772
0.8188399343408275,0.8772408904434811,0.6270938107802876,0.7295950940169257,0.5912204819748391,0.03274925397437363
0.9253530533550474,0.8019398694312664,0.9047872671746282,0.9598262536050267,0.6626124872224467,0.6971245069472362
0.9557655645047959,0.793230818692365,0.8492264263353508,0.4580292834390777,0.8974674117401266,0.8743650357069803
0.8765998948309958,0.9636709614435109,0.9664769861748628,0.2259204813747837,0.25970468895542637,0.9420667411109412
0.9211315693578517,0.8594220432168871,0.8862891060431458,0.19906696737072763,0.906878277560788,0.8969883464463029
0.8680407390752967,0.9804996604951348,0.9031142223406331,0.8941960872888342,0.9338882482503928,0.8716311160634027
0.9175658368384022,0.9229182457254764,0.9611131197103243,0.7823265169140381,0.04410825221687926,0.15725894044542096
0.8667168854765425,0.7345298717813564,0.1327207151969898,0.7415716011647377,0.914025137791104,0.2188024171660101
0.9851716611473843,0.7873484502942766,0.19536571239305853,0.8025291803267908,0.9901691664591606,0.6242371041390762
0.9357904154218207,0.8062543216520309,0.48218589885672164,0.8885596053579148,0.8445505516765797,0.28528273069345267
0.7994543549074156,0.8911173460223563,0.9836831154215843,0.829336093312076,0.8889238664750843,0.682985413190087
0.8213983225172935,0.739870225032845,0.9596010025487771,0.3619578098437214,0.982611381424872,0.9171380471474613
0.895073009408912,0.8989289225493863,0.8340046368331252,0.08947805035770183,0.4645195443363172,0.9154753223334441
0.77650539431143,0.9542498833228144,0.9743557183326043,0.7856234222119431,0.9325676602102884,0.9700287879117115
0.8313636655191106,0.9541370470990985,0.2987288271409515,0.7618301269684951,0.9586277637938617,0.9373188008665327
0.9147103808161788,0.7842202226898878,0.9167023030050588,0.8987620258195679,0.352205252373343,0.20933951221748276
0.8370498335690254,0.9766465535045822,0.8844804118448025,0.8389897923163583,0.9811966297782574,0.29591905763147547
0.8461441207225602,0.9341200116926981,0.9765676495319231,0.7739007284188104,0.949315042049972,0.7403960423383213
