a,b,c,d,f,e
0.9563216015606621,0.7836020638402752,0.2827784299364166,0.6280037943997525,0.33807097621151583,0.25310530351850175
0.8788306293049725,0.8809032611235068,0.924141724571219,0.9221361864736644,0.9906840041933465,0.015785302142305137
0.9549438339211382,0.9563233653053961,0.864020995206,0.9590586708598694,0.5361585439224634,0.35747905964222626
0.8425184845536856,0.8583455658299177,0.9562890970138612,0.9717696179538755,0.9254149512497378,0.9069605064912524
0.9713360268899431,0.7816504351530689,0.641935124169302,0.923430968488444,0.43896924823754946,0.7853588338055817
0.8423841338427904,0.8581945678426507,0.8607640707258024,0.9159588265404173,0.8869069320004446,0.06965859293232853
0.9614607920796718,0.8422876462291424,0.38822483760483595,0.8991650350345048,0.8160038384734007,0.9635448591388163
0.968273379015125,0.9051946550556852,0.8761902696056052,0.7559262068989798,0.35567604821790855,0.3386649869245751
0.9450437663521777,0.9970527613106908,0.996416840908243,0.4585918126682147,0.8819956644330582,0.9177069234407185
0.9772810055924348,0.7676107030229512,0.9565499085723985,0.9986768582900873,0.9690390556892357,0.9330419150375402
0.8978801618033118,0.8992610825164504,0.9484011597962115,0.9016585781215984,0.929717773566229,0.8972007159174669
0.8944903297244746,0.7857843664867519,0.8517423007200374,0.9526177222444067,0.9152438277648483,0.6409337121985647
0.9602867663610337,0.9200458667355975,0.8765489080770628,0.9673281939941247,0.15778283928723436,0.8712943349163477
0.9928633479673772,0.8413769591564808,0.6554191172973898,0.9575263195467951,0.9643111118769041,0.7838139716211313
0.9830919273106132,0.8562000463710623,0.5714981637048983,0.9852571657654214,0.9825972706842951,0.05145571764479267
0.9843600758427986,0.7511738494191763,0.9346662185312733,0.8083028964510024,0.8727746721801006,0.38644923972062556
0.8798396322908842,0.7878600343185371,0.8887602722581149,0.08928407734447716,0.8107409524815964,0.9429588410942862
0.9788434792933414,0.8018756700221059,0.9503853595001286,0.943827096030466,0.9508496438709837,0.8945451125884868
0.9394056070197149,0.9975658003769377,0.6826019547391103,0.751124470694436,0.11495877855347444,0.9317665160622711
0.9142814190819484,0.9692478302680141,0.8068146729461788,0.8866205115696806,0.3918378652473846,0.37029724346805243
0.8646767219507474,0.9052226654555361,0.8420571834226914,0.9146530145923072,0.6034506943125034,0.9708810170802816
0.996618954754696,0.9468170500299324,0.8443703684886974,0.8960334358925179,0.8425335171623329,0.013443836275914311
0.8365460778866234,0.8323346705284471,0.8326407308516184,0.9828640215439403,0.7950411953582625,0.8004576048397982
0.8669334714310636,0.9653172260869322,0.8403508082474227,0.15951917051139225,0.8131659474609876,0.9751655046316086
0.8824475117640934,0.8564673106587136,0.8341669186734187,0.9328465929816314,0.8922931704871347,0.7659636245739395
0.8707347980074385,0.8535676763404487,0.07035920344362144,0.4446713491963141,0.8101683416827747,0.9073374435658181
0.9081418130655711,0.9456706114576037,0.36557330287016376,0.9998961794680193,0.8596713214249193,0.6024086872790286
0.989666991031646,0.8791807706873132,0.0538680295336917,0.8771080890436869,0.5383969788613979,0.4453080793470875
0.9153320553776969,0.9425046056617926,0.8607331222898419,0.3778611246742753,0.6946226827952335,0.5689641899125742
0.9549623128881207,0.8604548391612379,0.8059409004212881,0.9512534790822555,0.7586935229004175,0.49860655529945686
0.9418512311127025,0.791967780917995,0.882086588892328,0.9056582521994319,0.9435471078431934,0.8353458378046208
0.9249114812375121,0.8083376458119794,0.813772371834373,0.4005154913112506,0.936553779756294,0.34690108370758654
0.9014773993834998,0.7430981547109164,0.8096248863356836,0.9538041086417339,0.9213099634504269,0.7490421374596063
0.9798557088374132,0.8123801394461649,0.9493746293808283,0.8078521931130062,0.9259628620968614,0.9216214215263436
0.9326248010887086,0.8217122646258478,0.12445097601194216,0.8836953041386935,0.3351371876262512,0.8471027853692485
0.8259350824417535,0.7430026437522954,0.7779835464381324,0.4248568824691886,0.8576248545583022,0.5260108990572028
0.8433381285671535,0.7610193520536065,0.9095871687873694,0.8971586551419906,0.9890892171372841,0.6483616711465814
0.8991525669094527,0.8998966835455092,0.48924364089472433,0.919440258885296,0.8235383745967564,0.7983693534838504
0.9479178191133685,0.8561419652910507,0.9839964860099687,0.5950103927026308,0.10064787036636876,0.23707972222050785
0.9525408430379885,0.7547002717714241,0.8832774209905337,0.9618868041039684,0.9858095591510219,0.9070291792377645
0.8685177257719375,0.8176364997880488,0.6287190108555669,0.9012408623807755,0.9299905729714789,0.9871076050477767
0.8933987069587772,0.8289535291003591,0.2480447802510347,0.9859323859820904,0.0283430086185558,0.4782529914999876
0.8333023347568561,0.9199559558979001,0.025633979162378306,0.8434277334054036,0.8069207551625773,0.05239612143125975
0.9831676374240423,0.8688975472996553,0.5685954656255622,0.8945595979477777,0.859403489453613,0.6860057404690636
0.8851142122681648,0.9077154084363552,0.7417883827704975,0.8850280118393131,0.833453487820809,0.12207884708675662
0.9123467911824403,0.8268254183896725,0.975429291168292,0.9872425744415315,0.9933744980717812,0.01673364833967723
0.9268212509037487,0.7950445486954133,0.6599628662284448,0.2796285847299296,0.9721542883851799,0.9023936297637833
0.9110569752090388,0.9659183517319949,0.48156994373042905,0.9463761252332961,0.8279881003924423,0.4568144558943
0.9095432385689532,0.8100335070125299,0.684954696015264,0.7585414820618512,0.5593503728062172,0.06675993819953965
0.8327545201698043,0.7915403730539756,0.2226066273541302,0.8797871833301906,0.738124259093344,0.4609177344842806
0.9187033330606637,0.8242925483349686,0.9759136203728752,0.9267218006887087,0.8553286647129438,0.29618786089369076
0.9392225620534369,0.9474545852567924,0.9524097275052676,0.9990753070776777,0.2030921222518974,0.8043879826410474
0.8812277307020858,0.8389276272388715,0.8975052402143591,0.029444170097891263,0.8023869847890646,0.9314139419006693
0.9753142467627336,0.9127660051888149,0.8337454794940394,0.933459854986384,0.6452753082426286,0.9828574098719359
0.9258857671327678,0.907022537408773,0.8863950739406422,0.9701749543723336,0.4032231295578933,0.8460049340736062
0.8373826198804886,0.9294018259917217,0.8042576452601853,0.7797929156760751,0.2551171954524214,0.7887871360536222
0.8843864988024408,0.8078081486422575,0.20401350204963153,0.9582767357966945,0.13685318914482955,0.3566938805306966
0.9200290083859997,0.8071597410571394,0.20355162297493284,0.9023234534613191,0.9242203286503693,0.38992902805514684
0.8362195463466335,0.9830180210139099,0.8679085720167885,0.8989970643993545,0.38749704242165245,0.18822453549692586
0.9573190248094992,0.8474722085680226,0.8405801323976017,0.9271171292952634,0.4722667813437387,0.041145138847327914
0.8745325468880537,0.9771540111724394,0.8106985258322151,0.9373366503889168,0.9664235802111831,0.9411588704097412
0.9521767943295716,0.8867935643129095,0.9158674715052599,0.9003892260810695,0.4267068269159658,0.5963804255118155
0.8335683866284419,0.8463188525422383,0.9685151540858867,0.4404519750034376,0.6557479112501681,0.13071376044752395
0.9696203837536859,0.8603783836772934,0.8135888117098631,0.11820051405442764,0.8802115870698312,0.5540484135103899
0.8526968778111221,0.7438212089510698,0.37923285895573033,0.935220104690093,0.7449670570664615,0.4218455158015419
