a,b,c,e,d,f
0.17074033038355957,-0.019877706960789054,-0.011603055745843248,0.11173696701895104,0.05839033038344125,-0.13466876235661368
-0.0034576651267943376,0.06398621569693837,-0.051773425548735735,0.12422439810720942,0.08487011547559371,0.016723949843602592
-0.1569562710545767,-0.0945624456797701,-0.09772657006696431,0.00234176146540583,0.10464743101324625,0.3709020826574309
-0.015653095974769084,-0.0658759359135713,-0.22667598214900753,-0.27023406238742154,0.13225958298216564,0.2422800646448517
0.2489639172339912,0.12705027913976527,-0.0411482516049067,-0.023196343190236453,0.14640286733828445,0.28669935159742804
-0.07470639027576756,0.23839610728593547,0.3145708011087538,0.17218591401934724,0.22437213757837013,0.413374081295044
0.10709900452937436,0.001466240226021119,-0.08409140821416233,-0.007789489573899591,0.325572613385846,0.547041901575074
-0.07838874491293255,0.2671931201550572,0.11492185983249464,0.18510200143378588,0.09885275811023789,0.721829092139276
0.1747819690053314,0.17901066138569968,-0.1623313234514669,-0.0668567289145251,0.2734018467548317,0.8521639674086711
-0.1237239424370086,0.20786413785575827,0.2041167343711907,0.17427935776899103,0.4402449097776564,0.8318146783463343
-0.020581773233558042,0.11111815120648622,0.07046350963016476,-0.13543571623434267,0.31300342619253546,1.0829733912032755
-0.2876077336458599,0.03367678597226769,0.21669694435493075,0.025756355803517938,0.1830350442171599,0.9863418699045361
-0.1488059235720505,-0.15654060090436037,-0.3474851780409148,-0.26488513730335395,0.14688892897951764,0.8646349908833091
0.004936364869352915,-0.4469090797953887,-0.22521560687273467,-0.18305133505767646,-0.07559775683812114,0.7372461958019142
-0.21033760949976274,-0.21257832879542163,-0.0021144577217284627,-0.02456763577837691,-0.2944811260410449,0.4244148316478247
-0.00367651688163915,-0.39703054109520786,-0.11157211535283139,-0.21489636474923124,-0.22057436317892476,0.05197656871766293
0.07966205040717357,-0.3213208787972728,-0.18061232416106565,0.006285877679522775,-0.32542006368809345,-0.10978548738602724
-0.2414198365732012,-0.12212269755099858,-0.2239438472713714,-0.0883536173364243,-0.2572894533206984,-0.47789272766892943
0.0904375096650047,-0.18601642025733267,-0.212284003448343,-0.057286958162273846,-0.029394908664322317,-0.4971885507554
0.22592476445849727,-0.003574343929418085,0.05253985587715544,0.15081622594790872,-0.2941395156067612,-0.43300005205034886
-0.15859932915209166,0.14072826250218767,0.30890199103084875,0.19950681606721732,-0.034460325317346135,-0.5545198485132306
-0.025996803543149528,-0.0740446015897065,-0.12656550913093742,-0.08069715787779294,0.06074287300496543,-0.3221386554227972
-0.021640122292785426,-0.04442070504561336,0.03324427535276553,-0.14117939007569602,-0.055947653426712665,-0.32506719447450705
-0.06628143117855573,-0.15824597725707412,0.03184661987234569,-0.09216739070226657,0.10617578291392207,-0.3461096638245937
-0.08902104713049158,-0.1281480001483154,-0.0014924999441952996,-0.0591969252497828,-0.07413082936975941,-0.17126836370912946
-0.09732864305154774,-0.10738363934077609,-0.0032603625719094947,-0.09878390713212853,-0.16087223975533466,-0.15559181146833073
-0.03484393362684948,-0.07215151337087469,-0.10302043794148633,-0.08157784092057838,-0.20949768296647692,-0.2314541990161383
-0.10865198413453639,-0.1371578317143778,-0.07381479278681796,0.0941571503751844,0.0135657311471662,-0.385292814271052
-0.00533209309511466,-0.030327024714151427,-0.2655278415006789,0.04252369863835001,-0.15269959487152107,-0.07445501685939512
0.17713766157116267,0.1390808767550081,-0.07830588338987379,0.27232279267814824,0.030872206326790233,-0.11198164461891964
-0.024511191371426322,0.41205497649798223,0.08259887175032347,0.40513446153886723,0.06990751433980173,0.07345930279586117
0.26989151679155193,0.35255285634524086,-0.0797300412287933,0.17962832708983054,0.24422693190936418,0.04547491757324149
-0.0517244558571983,0.21998534078125925,0.145002652863451,0.36788382573166967,0.23670308354453545,0.1820035227252416
-0.13451425519999088,0.20235990594710312,0.11829475981594616,-0.056909339795371425,0.49542676166348765,0.3718215209492353
0.15267768444817043,0.2951630386507291,-0.06772904249978567,-0.17587057590942265,0.3628587628027472,0.7201763748621026
0.23692045107206172,0.2767073712376733,0.11155877023200712,0.13365205804847818,0.1669317467833166,0.8951624871895035
-0.17502929166965553,0.385475724778625,0.2548379594023079,0.42436555497606904,0.24447876388748704,0.8539169016275029
-0.0943781987771508,0.29717112358081166,-0.11570884170369622,-0.0909252114628261,0.4776817856163761,0.9210434206791257
0.05503938287660548,0.17697679341703496,-0.22558018659482762,0.19960727175201176,0.3220367203296355,1.0978199443054595
-0.04652525964114218,0.06580095408812411,0.08787900611654448,0.173668472356179,0.22828250879603085,1.1397007493567997
0.16778867924561247,0.13930389728442633,-0.04080803883874678,0.1563453635421398,0.22196402293331277,1.0074298483147295
0.16867165984454277,0.2918287978547486,0.1860914589749857,0.12605845533102714,0.17685334453052684,0.9897207978663041
0.0398274343789511,0.3377622082276881,0.2551414895224518,0.061245136375781654,0.20702283886987619,0.8332347702581583
0.1522440615438439,0.209805366546499,-0.06017766113752261,-0.04800956332799537,0.17110554035000866,0.7231915522294926
