a,b,d,c,e,f
0.07761454974869232,0.5422259183454017,0.8843817817751805,0.5870140127741936,0.5141106148245009,0.8366422205066808
0.17859393710043608,0.3846368645008594,0.8613095143013971,0.7843900302649729,0.2815566956892836,0.9878742586778076
0.6416154886735674,0.5684153021626568,0.9760703068850838,0.1755545320582806,0.26372124908402444,0.7977573089849328
0.7993855001679353,0.31884743211517336,0.9569290271175646,0.6515991583843688,0.15095393920342579,0.8016614277727977
0.3076919927754767,0.6061506362327952,0.9491096266107796,0.36242738164947974,0.7010057528039494,0.905643060705327
0.28815880614918776,0.522757799313116,0.9391258142564018,0.6173159587724861,0.7284470143253642,0.939433757645721
0.18719123154071352,0.40485719190214015,0.9150892986167569,0.025319511336543248,0.6136322548711882,0.9891881132666709
0.2984351168738477,0.17592790456965895,0.882124039419052,0.42813513545162274,0.40637431565199167,0.8805718392560297
0.307733752757734,0.29298097186350563,0.9101685181147379,0.03526958758175289,0.6684407366244246,0.8906751458872096
0.7182122596122062,0.026715166623440166,0.9899449294170601,0.7148987196359422,0.22536250242757047,0.8528303004183198
0.02678744467545514,0.5678787904062533,0.9314788673896967,0.39800378070048403,0.3390859210909938,0.7839406329245373
0.6195188732894383,0.022725171727225886,0.9906513996038209,0.17395503130781015,0.8708223604518699,0.8708247330756919
0.6867779011138635,0.038643472315875275,0.9790312496903282,0.5311195315716862,0.4707723250596224,0.9325835344718975
0.039832728592203895,0.16795633930010548,0.9532504271068195,0.7098032205702149,0.1603840087781294,0.8889423975407378
0.36349148976493156,0.18309467368248375,0.9736735257323645,0.20507979814456292,0.0622979355346767,0.830629753465751
0.12602183142294332,0.44411411904305276,0.9439329065566857,0.477463074992848,0.027100002923900357,0.9354230570486052
0.1824535069202531,0.452439948125053,0.8951458258316414,0.6303358536882684,0.3997451084330668,0.9751042732382144
0.611181926304687,0.38687211364056073,0.8609978776851995,0.7458983200137301,0.6588310580043806,0.8416871899428413
0.39585585427283326,0.6665693590501951,0.881956284520921,0.13999186138536818,0.19062558882372554,0.863952271465114
0.716609366604004,0.1766906403295102,0.9427888313417047,0.5348968994654723,0.16690188344669646,0.8931068538671785
0.16217551449529094,0.4891579476605264,0.9869114727290098,0.6202763210588869,0.497760865663755,0.8606748444856476
0.38164626924502704,0.5688891674922087,0.9646255206390633,0.6100974094476636,0.5744753875802253,0.803584110151302
0.6882410995791417,0.6075932553013887,0.8517708885763409,0.007228291843954259,0.6925665298645687,0.9446874779334228
0.10244082354305341,0.6930274644640404,0.9796722453121386,0.8043805725658374,0.3480097149677071,0.9088253754286777
0.3097995446491178,0.6869710600796675,0.9474435995165578,0.05843205605667991,0.8756414285266472,0.9795577411872147
0.5260943720056325,0.6178131650434388,0.9995884496143708,0.4410426546562593,0.5493689978844887,0.8675170578877964
0.32652479919770144,0.40961269168376047,0.9188053907414466,0.5775934456200095,0.36318295861470357,0.8532458864968775
0.762002719304132,0.12212303636365268,0.8859528662029169,0.32279624341333685,0.8557966574857357,0.8634516710158662
0.5908138273284852,0.3101354690164264,0.8573676382048395,0.5768592422032219,0.6317751417642236,0.868381721172336
0.8170969955882987,0.06831989973524798,0.9010201602731892,0.30198182352958874,0.29691710593868814,0.853195482050969
0.3422380044198176,0.13888326356379208,0.9993860327502647,0.8184721321854731,0.7964402269404344,0.8902700441480724
0.7629177951496972,0.13786656270444822,0.8880947702773975,0.7479498470534071,0.37459789287372947,0.9112269202182708
0.6363794689991947,0.1749985897530884,0.9704621739734592,0.41569079985671814,0.5594162711293856,0.7858177859583493
0.5277867378512143,0.19931770852972752,0.8604468375895072,0.23978862829086273,0.0690064294679672,0.9383853049325224
0.4079504598028786,0.6036693142356225,0.8953217331040565,0.2695814051070458,0.35905608408070805,0.9137266536814511
0.3936266505796659,0.5634617873297525,0.9587313430856321,0.2984369869237111,0.18964023621100856,0.9935647525778706
0.7278204919215805,0.1003851201378044,0.9922019681975208,0.16887977369197088,0.08549686553349,0.896421420387925
0.2913054101655221,0.6810642427466397,0.946001226058704,0.5755101510536079,0.3190251770602041,0.7899827548849767
0.2902356924371644,0.25214155981923747,0.9884423925438093,0.7120891637566787,0.6659269527917935,0.8781899105142675
0.27102237140798957,0.2950739528401523,0.9547893887426148,0.6119362388567615,0.2643852733722451,0.845434801389083
0.6909976811106852,0.5360033912843393,0.9934531476071411,0.7320823099764994,0.17445031494875,0.9247007865902149
0.5803242116113431,0.05393760959732731,0.9953391156925241,0.7932623760460682,0.6206442727969498,0.8293494627820854
0.42911717319133696,0.3204212141443636,0.8540702779635618,0.2072508413517568,0.7077492291735664,0.9503371735136232
0.6496389404950788,0.6536057829751794,0.9267456869182578,0.6586174377033032,0.17433204782468356,0.8822105630866117
0.09093575575549848,0.38470899445795614,0.9532539568808148,0.1616273302488635,0.013897278220768338,0.8160720376554309
0.6454485770687587,0.05211368603319798,0.8901587628458951,0.6438832645775865,0.20789177984772672,0.958171594769367
0.6995074085359946,0.47455546706565493,0.8539874148611483,0.796074733435367,0.058241881949665814,0.8879870773910903
0.5157906147722966,0.26984523216462597,0.9050184502312354,0.3594296755280857,0.5059921072906074,0.8285788773425048
