a,b,d,c,f,e
0.03824552092965508,0.2022381143521262,0.9549185654012904,0.897164260663873,0.21320474901429165,0.06558665597740064
0.169522216737353,0.7373083908772723,0.7934122972193834,0.9472676402333386,0.9100684286459797,0.9478747054919073
0.5045200989719786,0.5237016692383678,0.9244488313381585,0.9821289155160509,0.9288647960750762,0.8130403756693838
0.694794756749622,0.5181862882798219,0.9933990083679941,0.9060351708073763,0.9942822360473063,0.8057999299061446
0.6547102352498043,0.044640500954864375,0.8722107870944136,0.9357820847025311,0.9093149843601844,0.819676044414338
0.023216870403227133,0.2993355567069184,0.8972516943144285,0.986554511138816,0.9978766620408241,0.8520624286575799
0.0041394956053158434,0.5720871926979966,0.9422396128065088,0.9428097155747169,0.9079264094406824,0.9384976489068283
0.4715100956696507,0.028061881856697852,0.9440586913369072,0.9237996578222795,0.12260499090410376,0.5423040825610476
0.4866186994388512,0.7356163633810513,0.8770163917434889,0.9928537353108097,0.7374558081224172,0.735539553491801
0.2562811107462178,0.06402395020164013,0.9974364700946843,0.9805566236308855,0.9528846553096609,0.8529674273517902
0.31827455914784514,0.4886713911732984,0.9253402099798891,0.9312744808664776,0.8953154474685913,0.8034803434879502
0.1763179522899298,0.1072390609429588,0.80167577703406,0.9058308322010474,0.9843590915633826,0.9266801820830196
0.5421477876629028,0.5932786928133369,0.9155751225054162,0.9947946557606253,0.8635196355414959,0.9473838245301824
0.18022527433830893,0.10048332972070077,0.9085109421690669,0.9299485105510491,0.8875767136350854,0.8266123828700557
0.6230668319397888,0.047579336758863416,0.8465921017592899,0.9326358549561936,0.9570785200900044,0.9345571357438599
0.6654770419211664,0.6408368852366694,0.8520980540297515,0.8916295927310094,0.3257095441149844,0.614098361109311
0.25441758280884885,0.751892930207712,0.9363082991271054,0.9754879960640068,0.8471429456672823,0.4772315863606478
0.21981138240771558,0.3949287970901505,0.8558690746652878,0.9925814076446714,0.8676560287640177,0.9540978358410208
0.5531580606771391,0.08233846650718084,0.8478570471169959,0.9654003392836059,0.9963088858615942,0.9673022963606805
0.5864228255082156,0.6321102200796989,0.8751092749087331,0.9805070536380897,0.8738607720071864,0.8273061124532257
0.301517981510555,0.3612123798334091,0.8732475908126441,0.9829279603810142,0.945486436758826,0.9778571357450679
0.05186527694196538,0.24431008489014047,0.9656915651227902,0.9762953172359011,0.974545200034013,0.9006394127666842
0.7004798870264216,0.5674777125641018,0.8749814486000277,0.9841801400168286,0.9373820141617241,0.9136848835931574
0.33763715541452755,0.7700893832070616,0.8238488657968596,0.9533819396794908,0.5534329592393887,0.7207298332389476
0.17891891453523215,0.37783811577822746,0.8538614827260707,0.9121029960021305,0.45233640578934076,0.2822668661131651
0.6326264770721429,0.2519655117783324,0.9667845212774479,0.9300822444717394,0.9068747716652306,0.8788984783245994
0.6168230491636041,0.17212828819253218,0.8726188867073956,0.9307862565359954,0.9845612487749794,0.969974825603324
0.7827779351453434,0.08509585476167399,0.922109907877815,0.9340989764619267,0.9184465940218614,0.9008091157021285
0.1396588509563033,0.5623180972068031,0.871424677272801,0.9216373492338016,0.9245161997136916,0.9672995267383213
0.17221765890454765,0.596479699275418,0.7914887560959325,0.903612916421782,0.8774119404516201,0.8557002601095818
