a,b,d,c,e,f
0.6357466441291886,0.7942606211736207,0.9052834424662822,0.3698043410906278,0.1580120827232174,0.4343170432790296
0.01499291131555891,0.858846838078039,0.8846984108308452,0.9838582973995403,0.12577852404810827,0.08167734418788322
0.6117069938841546,0.9924133903840238,0.9453494949985684,0.9956214521743413,0.8427114662507783,0.43329067558853906
0.7204701515390807,0.8751599990625335,0.8558663136555698,0.9524994825820882,0.8799566831019272,0.7404843940356322
0.4268045510457593,0.9362698908765752,0.9077628029894471,0.8984449464911178,0.9825943491964837,0.8912088735159256
0.3670380221697834,0.8265087177566093,0.9179865118812299,0.9044826558893658,0.91149372667445,0.8317888952396365
0.6034756156451185,0.7933912758301329,0.9078809705777139,0.9197373054124157,0.8863238750975058,0.8909378040789508
0.5055708432706876,0.8482716487737079,0.9589869318524498,0.6734201690291832,0.8487718991667293,0.828111355437875
0.7341265788474581,0.8828237840823673,0.9525149064443905,0.7605056865203236,0.37933274306361214,0.8451437517847359
0.35368497303569224,0.7921792650340886,0.8989855185174261,0.9080778287295291,0.3759795638959367,0.3323540860537834
0.2387236726111242,0.8471727947896353,0.9433587373696785,0.996911394833345,0.908949443209248,0.2253229986425382
0.06898788370077372,0.9750777020125109,0.9206066606365073,0.9391972858569285,0.934231967467479,0.8184179588141903
0.515743055924076,0.8942130507123358,0.9799279723701513,0.9805997508078995,0.9503912852189157,0.9862386749405684
0.07631403189930999,0.9376109954867571,0.9272905579363253,0.9048800036824514,0.8782905381673773,0.8460157195766302
0.36617984156277905,0.9777534787751272,0.894265001366684,0.9389794742221252,0.9493236609343383,0.8042408783104568
0.7448678034343159,0.8186813361824797,0.9936510591494769,0.21391389907098624,0.9947241899114598,0.7448998707116766
0.4798125777135423,0.9828402723267461,0.9453912912643305,0.35659297669217255,0.6512230132862681,0.8758059245537122
0.31463088460300154,0.9472688536471937,0.9828765945637149,0.9992953204644641,0.003014148303871371,0.4668816111549408
0.09912118639136444,0.960848883029657,0.9186299262609298,0.9390387056677317,0.87658276487569,0.17474197651149662
0.6422106517572553,0.9880859742130528,0.9386906668454088,0.9364763618143043,0.9818000130685561,0.7908326153486469
0.23621381573911837,0.85332949855791,0.8971062106965915,0.9521856188614055,0.9759982351865072,0.9900176259141453
0.1207821072070519,0.8397344504440599,0.8826657287485117,0.9651010132393683,0.9286713396894886,0.8585404142481685
