a,b,c,e,f,d
-0.11925029697028244,-0.13316648957304464,0.02262231375739439,-0.019914610524820346,-0.11220946741974908,-0.10039273625227246
-0.14501545410292696,-0.20441655090612532,-0.191774781034237,0.12078094893387556,-0.2117584792374521,-0.12971387150160643
0.01940674568730999,-0.19507955307873925,-0.34961428335031,-0.09271377007522855,-0.08028015166308686,-0.42541607800986725
0.1385447464889416,0.023279213894352162,-0.3897218663668933,-0.22009276152205692,-0.09268896809039115,-0.6053717718251863
0.34495293922454695,-0.0019555213886023742,-0.26320388440451414,-0.2605334100846393,-0.02057827430246201,-0.8116425291064018
-0.03912884777940557,0.14442721487016735,-0.15140290159622025,-0.267320409594382,0.05406974621879685,-1.1046652731665025
0.07375066101276587,-0.01593964763005104,-0.12263489139801123,-0.15883023762238174,0.119325587648171,-1.1791626480852295
0.31413617357764734,-0.014972328086125287,-0.20742410119341897,-0.17951792175585346,-0.037935209428379704,-1.1703903943017973
0.0926060882927226,0.2962336246318608,-0.1711169614879536,-0.2729346909084476,0.008499935620853084,-1.3415649947466362
-0.19802750136537395,0.30172304242108117,0.14661723876578134,-0.056418705711129,0.05309218792224179,-1.4498282486185385
-0.0028159821689541387,0.0093577811114115,0.20207026653166282,0.0621073121202784,0.1766239321083024,-1.1585150376692206
-0.018585495536411267,-0.03755159703091691,0.14102722366053697,-0.03944438577820701,0.01784140280188617,-0.7483462074587736
0.23563793187379883,-0.1390683556599525,-0.043030638836520994,-0.14013606387314564,-0.06813240327221239,-0.5902393132591812
-0.04364892858336885,0.12954593478063023,-0.010467765101984522,-0.16374652598348458,-0.02550320663888449,-0.5781106511404177
-0.007425849907230636,0.15990462862120047,0.23379599670324158,-0.022704085286749283,-0.02141326296246543,-0.5039534007294852
0.05953959578614124,0.021594963107479697,0.23807249632209274,0.12844850343859437,0.131476646342077,-0.2597075342141348
0.11941500585931522,-0.08161878539127475,0.06819139090586232,-0.1290339061604785,-0.06957063445796977,0.08481756289825759
-0.12818304582732434,-0.018659533280891982,-0.10319403411843978,-0.05004330035856859,0.06382309580203879,0.29455261694632434
-0.0207973564767202,-0.08475849653541555,-0.0635998248356808,0.17541258699196413,0.035707577622482195,0.27674998184652455
0.27605896882535746,0.03431303450043964,0.043287753711896054,-0.04468666270472703,0.15844757515823754,0.4029339123765217
0.09632103740460853,0.13809007251041275,0.0285933573345726,0.017859753036145065,0.024012594023948917,0.41044094944364984
-0.1473665040886147,0.05060737396531212,0.15920986727685282,-0.015047323384893806,0.013712634292984121,0.4298334103498002
-0.3204669383028078,-0.1688424111811312,0.057121775387143706,-0.10820751917885535,0.06466453058754824,0.5396617685891134
0.06653851910527309,-0.48654643320758884,-0.10864396784699107,-0.17208640750245668,0.04996420813801098,0.5638021712285866
-0.111358256536544,-0.19336136335002313,-0.5554686871555068,-0.3167878889041922,-0.18588910169637252,0.5048862974835711
0.2465356218136996,-0.19267519741804093,-0.6493484430044713,-0.188741394969274,-0.03104641326615417,-0.13629957610151777
0.014025587787102412,-0.039745986893869406,-0.684700487242814,-0.16561843110715496,0.09699362205790588,-0.7026646788222956
0.17904715145732175,-0.13390557270238046,-0.5576822330521136,-0.09201662944430426,-0.02817370402482314,-1.2064447640897462
-0.048284710065296055,-0.008180956157235325,-0.5485623056098949,-0.16417390104263407,-0.16342712502093262,-1.5748133421311097
0.12179665203260807,-0.06370164369919051,-0.426968875982768,0.026638780935273297,-0.20180832911924848,-2.052519723548027
0.2666751129450971,0.07773600807512289,-0.39340756673102956,-0.014761385119856347,-0.08314674491548744,-2.2867630008700797
0.004358036299607373,0.15002009363337876,-0.20253868689789237,0.22071036652252665,-0.12147308281590753,-2.4889672163176737
0.16534879785557202,0.08606338244829345,0.04031303581450832,0.16556773601395897,0.22462690887128484,-2.473595799302383
-0.06398564513612592,0.26435448465708616,0.06191050824477286,0.21247016199257673,-0.03254914729258418,-2.306265532543244
0.11730643241849495,0.021189723923111477,0.06991130508822452,0.14537848126596267,-0.027786402411187572,-2.024960212428425
0.006877816891186807,0.19510612172425568,0.1702461125045354,0.14406838688759935,0.08539785515185846,-1.9092149473505264
-0.052518315423194864,0.07399228300254068,0.28714353727797554,0.1445450635050547,0.298513382210111,-1.4030541957314364
0.07701577938043382,0.08423194753218127,0.20869459312309815,0.025580533751724817,0.08421396319572727,-1.1370817588435598
-0.2596620820256187,0.043601802873764604,0.3458322718380378,0.0997209261506069,-0.005114251111487028,-1.1080468997105641
0.0137245114671096,-0.19272317944798853,0.18836041357572736,0.05611093525292904,0.011760690710959238,-0.5002271474611095
0.04585726318995992,-0.15331023709279654,0.03098526507537183,-0.021813314730919138,-0.05087269202150038,-0.38498676179637303
0.04020313630395255,-0.17222388020040494,-0.09057021240611808,-0.14349910619865758,0.00919069275257943,-0.20258405609224242
-0.17726420102117257,0.09950152358104396,-0.20286257038011654,-0.2651014923658611,0.008038987221264608,-0.3930676213249421
-0.06866078480465714,-0.0381758973401979,0.1017502522777078,-0.14598598950635236,0.005879623733243324,-0.48407332299726635
0.049714491582425364,-0.012362716995910884,0.14799351492266175,-0.28081481395478136,-0.05256935144887235,-0.3647449436547664
0.0054395360715054075,0.14250753795566679,0.038369390887850796,-0.14862379383610355,-0.14719832660139795,-0.2563849797472068
0.18013318390890645,0.020030396500423656,0.20076313412352562,-0.054866174796707856,-0.15934128542889098,-0.10424228283651073
-0.11626899168035745,0.05611213985195608,0.29236241225877996,0.04554304669175561,0.144750339302173,0.044174401143528635
0.03595765563129654,-0.08006607007979352,0.1604722639782909,0.07246599915903901,0.16390120346787865,0.45604470543989456
0.03656194555793068,-0.021584110324878114,0.10199237965587583,-0.02069268052031731,-0.03129427828414844,0.5980546641268243
0.19420795185985082,0.1193512401603666,0.17307123505437136,0.015748402556902057,0.03197944422478593,0.6373556125020406
-0.06139748518777585,0.3631932061802867,0.23667820375387336,0.06530133413425396,-0.050688267646287324,0.6549631357311034
-0.08054875640043188,0.1045087471847711,0.511173884133277,0.1713343364558244,0.1167796878148801,1.0035366953419829
0.12379464934581937,-0.09520839658631369,0.4564809050936003,0.07785508552863968,-0.04823859416095606,1.376781309379038
-0.17806557315011246,-0.05224400851219267,0.27272658142904566,-0.16304602489890624,0.005025134147124421,1.6443343492580411
0.23142244484093522,-0.18673203516136722,0.24871752691219295,-0.16243643647296432,0.11142837070114947,1.7179786794216168
0.22624562567909,0.14158857202721692,-0.0038123910912463976,-0.10723905702407649,-0.05935136601238785,1.754302947275127
-0.07582344767499347,0.31907981510806077,0.14900756696638004,0.19586976739472528,-0.014974494007329725,1.4578115987079303
0.13480222350715054,-0.06302364094346444,0.45054294462443534,0.28312536452274845,-0.03732772244172379,1.3864700771110319
0.03047987051043598,-0.00585102897407716,0.2888144754745825,0.2134434675476746,-0.13367629441772344,1.7296487647202556
0.00021429036588788142,0.1841496796417788,0.26891244455125196,0.24705567338526907,-0.046148172989747334,2.0668797775171868
-0.08441216198395096,0.13263438847208123,0.41913457204501564,0.32225389985778896,-0.013461406597077827,2.259833519818875
-0.06610171725504327,0.11802975491058268,0.5979066096637403,0.3067770259368191,0.04365009314233948,2.3262884003721442
-0.1271450329402443,0.17246881541664083,0.5702145834976156,0.29765563503251447,0.03176407746122845,2.8891436883563415
-0.057079810191030374,0.20076094118645915,0.5327175343614187,0.20661452534765712,0.22056730470596594,3.0944249265227004
0.02649636613821397,0.12019234693926382,0.6025632910270625,0.10246458220611614,0.36437630212419286,3.3299900881612583
-0.09860461702471032,0.23379793074536148,0.6997602132794231,0.13147782755896825,0.2845697683969002,3.5001191104152056
-0.05572719311648571,0.1537962598934043,0.7320904962229632,0.1639590040536983,0.03646140622768858,4.095427702254768
