a,b,e,c,f,d
0.3844415835620547,0.9747805394963098,0.42716107726185415,0.3208151373124904,0.9213353199898854,0.07476405452820238
0.4795458905846523,0.9080572523331526,0.24745536423382752,0.8902249711093377,0.7956496260963933,0.19590504291834457
0.287103605700116,0.8790911292417466,0.8411065357081038,0.8875944921415888,0.8754731652919189,0.8530333093317211
0.2497950590829552,0.8971535942204306,0.965468609666429,0.9490478296449862,0.9776900903329738,0.8910116043715307
0.25976077615839366,0.8807028038686613,0.9310522059685558,0.8703850295006131,0.8961318411737363,0.8868397045106902
0.17178394974642444,0.8920565770089507,0.9496471376578306,0.8432366797756572,0.8790747550512533,0.9337595309859363
0.570850970363411,0.868802440047553,0.8421734746115788,0.8536484647267459,0.8476181705656061,0.8620740086532697
0.5585957916456222,0.8777338672699917,0.9891466921032713,0.42651417714012996,0.9431759483177891,0.9107916861260871
0.10789928049764524,0.9429850453074431,0.6005182863489589,0.38784273778836525,0.9828503919941076,0.20879175565799582
0.38936117587970726,0.9795904326030723,0.07655806736060733,0.8756967416083248,0.7609054582226792,0.669158989583707
0.21453879575983104,0.9152951194617758,0.9200355054802786,0.9507690736733636,0.920226657107536,0.9558202768539216
0.08926225338353466,0.9950931150503359,0.8321461150415183,0.8828763789037448,0.8291802778349344,0.856637194016858
0.455712180558606,0.9239644347011043,0.8383573032518221,0.9828083829118729,0.9558811605742946,0.9284297273708946
0.5961134019488159,0.9022785268710863,0.953252274864387,0.8687941373751616,0.8635187312403256,0.9392039881876376
0.3051376372528718,0.8860883078001238,0.9913695630481331,0.9987911467110079,0.8714307881567933,0.9622876025064655
0.3489327270349387,0.9927165674691457,0.9456830083637022,0.5252607246353007,0.8301680359335382,0.8462056593273056
0.5632464733332607,0.9981459884632096,0.019199963168391208,0.16181361776728517,0.9786576455024358,0.20485560101784855
0.4415714078921583,0.9274158216495342,0.028361922216834475,0.9949268397138344,0.8526132090017962,0.30511991603668914
0.5947874072565237,0.905478556239009,0.900086504405896,0.9029439941943177,0.8804188580898095,0.9809752971713057
0.05719965371674221,0.8805263250845821,0.8759201502203853,0.8722590069549846,0.841410198021598,0.8345363930531908
0.5152665323438472,0.8902438679245721,0.9895191413312814,0.9647362801636088,0.9589705072377905,0.8426497383725883
0.5135125701346112,0.8643175170112367,0.9739193385696553,0.9207140513846825,0.8727559717833533,0.8749518453975248
0.5767360968698372,0.8795597518562126,0.9108111192683185,0.8850163992305854,0.9823273561545094,0.9896715100247279
0.1377337252916784,0.9763410631206404,0.8507340455895341,0.3697666555808125,0.7790144314050658,0.8336207779638837
0.20731280271289482,0.9530655984407226,0.4275807394866026,0.08210830556122353,0.793658995137513,0.44828242628789133
0.1817393211013222,0.8932375457507724,0.8126467671222233,0.9311950930173964,0.9096400703282708,0.10698311151540467
0.03795317529118339,0.8768501426001527,0.9992034318444656,0.8676536089691782,0.84552221765186,0.9295773027331582
0.6827416498572065,0.955395706115497,0.9895647797595934,0.926291895069431,0.7963920646574367,0.8332155357929759
0.4984162387499086,0.9177296046917024,0.9791001915161097,0.9759394101675597,0.8667379838248522,0.8922594884174722
0.2651054238953598,0.9219014996173998,0.977559145855842,0.8433391400409739,0.9748611489430612,0.9155062204016099
0.060120556957986904,0.8946874849777499,0.8445958112960572,0.8670629173762088,0.909536385522878,0.9376997930023838
0.27890739697208894,0.8789089062213817,0.8458612577859553,0.27263727211926914,0.8278391932174386,0.9365421290948615
0.3686475127099546,0.9716932082968343,0.610974185276828,0.05676957814427311,0.8448141527283537,0.06461537007589868
0.08776893212273268,0.9780387652285935,0.5762279146966883,0.9371327753161502,0.7932663651635924,0.03587894169221285
0.19206787345354137,0.9362274449719219,0.9810766642175642,0.8982451028685657,0.8124051269278324,0.9532894459774137
0.40480495131653016,0.9955505739543427,0.8469022289353566,0.9257049539667289,0.7882398129272923,0.8746600280201288
0.14585666334316533,0.8810084148139842,0.9810353976328912,0.8903374700108609,0.8600738683461169,0.9354434112759461
0.433158768393905,0.8843126000187209,0.8476321738500192,0.9802216189176056,0.8310787742654301,0.9309209266285009
0.3402303354941327,0.9816072763774844,0.9059429964829011,0.8406688009138503,0.7796531614686106,0.9329525223282701
0.2626921440354384,0.9619693358835416,0.9905348324362557,0.7863089058591134,0.907265474041326,0.9145370118300773
0.23775818941453256,0.8833495521965434,0.6452632176719817,0.727020328941688,0.8005716096119602,0.01767443665329955
0.03674432133102273,0.8805728748484596,0.7566394844312355,0.967374217639657,0.9808509829634409,0.3619942682419741
0.06293113472341824,0.9709622378511618,0.9218703365197688,0.9625990367451821,0.9524857589217453,0.9093543510921978
0.284156158130104,0.9029733206492115,0.8673483969981647,0.9839552626011987,0.8842005571388611,0.8892850082731802
0.09588246091551791,0.9649532074043684,0.9211830920490797,0.9030000134097554,0.9995490180580363,0.9921576946167724
0.49031873071076615,0.9840318364154007,0.9457662638834373,0.8904129757830623,0.9435929360370153,0.9232001765603326
0.332338028554431,0.885133876552649,0.9799252388489593,0.9044881797115161,0.8401071670637286,0.9703642446917743
0.5642885583575448,0.911076573860222,0.9334126693043879,0.45011869947994115,0.8650528914232892,0.9792820426339024
0.36454503899738266,0.9900010235545553,0.37592704192256404,0.5140209846413383,0.961039064159292,0.48442740147191987
0.40887121269600946,0.9327602922754997,0.12745174827761752,0.9645166474876444,0.7658210197329771,0.37978453390099237
0.7377571573047007,0.9607970891483564,0.9309603747969142,0.9895719733671219,0.9414942695951238,0.8727253045560878
0.10215253193159005,0.9733605816177431,0.9394394084055234,0.8907975245642692,0.9094275883367527,0.990642804483196
0.3690494740281634,0.9773951540167268,0.855372371409363,0.9485080314803832,0.8007968145468023,0.9051888851401229
0.096308415894093,0.9777692581133468,0.9168153273890699,0.86185976951106,0.834381663669366,0.8467165752638682
0.2276822321322081,0.9854714928304733,0.8586827292817631,0.8985436916465563,0.9965886211283608,0.9073648359275653
0.46949103622085464,0.9685934687743901,0.9208893111795887,0.640807902674624,0.980409202218113,0.9886139563771609
0.6618547495184378,0.9330068423332372,0.44898733130302965,0.7526949977108347,0.8640842728167105,0.1900280727497413
0.5402467637101591,0.8722618485777501,0.5412523641976434,0.8598118994597311,0.805273501329789,0.6333774772563594
0.36001436809071463,0.9705269076747222,0.9623039259620871,0.9571841109484912,0.8662115845274424,0.8387172025996926
0.14295209291116429,0.9622909647749971,0.8652438850093159,0.980489779060142,0.855275399907947,0.8477304246887044
0.3600766499684541,0.945535365979336,0.8390845609098267,0.8918505867534693,0.9831707990746789,0.8767400125779689
0.19242759876703144,0.9752544228446323,0.9802709124400849,0.9317669919951571,0.9067946339494102,0.8592974664430323
0.04454639313895459,0.9090127985738705,0.8381093354980202,0.9797810608877049,0.9213315663927888,0.93165093496161
0.6447674536101639,0.868226800524128,0.855610237758653,0.45890893990036846,0.7811942167860674,0.8723539212307113
0.6551986049642429,0.8611173757777361,0.2974655717079403,0.7637697022224605,0.9305726770993646,0.519832254710738
0.3566392139175575,0.9794713090992105,0.546970550111373,0.9399327326453968,0.8548900527601608,0.343575317562509
0.17900802507728147,0.8996992794734117,0.9468688648696737,0.974312062511554,0.8965467066083364,0.9039328772464551
0.2163970120713051,0.9612398390143815,0.9172253926814682,0.9948662785885318,0.8140794877649676,0.9658909540921254
0.026497473747493477,0.8881638333170075,0.9352478892519975,0.9357905566349615,0.8288605180736794,0.8844290635984013
0.2518251183703291,0.9690552530549136,0.9647754292932815,0.9586706824126996,0.8536125338666889,0.8610383517631776
0.12755687019497194,0.9549697729689353,0.9164668909316053,0.8407574093683388,0.8270136923537382,0.9159324701225088
0.48761904038507564,0.9765482611408604,0.9416284401867906,0.4332771385736381,0.8584564841431604,0.8772895986441046
0.4633463113407552,0.8939312959084319,0.5668171730571234,0.7558670854266102,0.7886948559363753,0.29751460106923955
0.5963090416285493,0.918645584976698,0.6294963970989064,0.9507240709384379,0.8990159420568415,0.7028635808641023
0.24148261016384773,0.8627669316267386,0.9799018351967325,0.9574777642263721,0.9362045594728026,0.9795080950150357
0.1555692072135122,0.9416928851039031,0.8402663477948769,0.9994339833211283,0.7839290886126963,0.8894743137483303
0.7428452856849294,0.8730455150867302,0.9801259325189717,0.8664072388944519,0.9782948693808551,0.9519164627368477
0.21946036342996242,0.8936343592009136,0.8644128912371506,0.9305467964114656,0.9875207909885669,0.860673744120513
0.3501831272540495,0.9393825993510488,0.9020099668674081,0.8574838635898033,0.9113452634701824,0.8682929115697772
0.2128541137699265,0.976130343253526,0.9107776207711342,0.32683286862304933,0.831225532629236,0.9560033617885949
0.40317811757160216,0.8759765525873064,0.27086198300228725,0.7826239170275838,0.9490233405131744,0.6890759372400517
0.5809669704268396,0.8891835411926193,0.26989319294490977,0.849658932901187,0.9600363107634361,0.7183292601130574
0.16849775468608297,0.8709435467455391,0.9963596075288811,0.987943989438522,0.8858869823491258,0.9306698396181572
0.24794575982646555,0.966591706313901,0.8913883348011746,0.9236570386425582,0.9111737135583404,0.8309881351771017
0.22460694681550517,0.9272611749763054,0.9030531637813277,0.9982330256048855,0.9278336867362589,0.8866963328210301
0.19156906652088293,0.9750832202052486,0.8813557723038278,0.9776642213818513,0.9563348099441797,0.9721269589598991
0.6940261288330917,0.9081684199652591,0.8612744790637158,0.8504723231689163,0.8449919155029973,0.9371508074162815
0.6302423509462683,0.9203069114087145,0.9975985806649915,0.7326952221637598,0.8054624009541795,0.9376962728429372
0.16910083863378103,0.8879801962170466,0.6166935466769031,0.6889177951239616,0.9497009001041732,0.6626896493557329
0.4017667018928446,0.9625413380432156,0.059428764425545476,0.8914067185760777,0.9876170241572264,0.8000844909195712
0.09610840912837604,0.9706009124865156,0.8253958997989135,0.9967366550022944,0.9292914595333245,0.9766592706885859
0.26766337283096225,0.9980854619510762,0.9018596887439523,0.8851485132780871,0.9392188311382532,0.9997578309667026
0.07487676748609581,0.8830109518678201,0.9394344931319341,0.9141877917670125,0.8046920214880019,0.9256070412425965
