a,b,c,f,d,e
0.3790026277574169,0.6233057715398918,0.9055828210607904,0.0777325961245225,0.31218225818363327,0.8552412490433545
0.3907442884492717,0.18975755278769532,0.9587864134435813,0.21355160738119058,0.43691200757962206,0.9200549237969369
0.6908563102726293,0.34324348059960463,0.8948485136050763,0.6697937738599257,0.12919583920700314,0.8935579756290901
0.4162404226547111,0.30911158483311807,0.9090530760788491,0.15692362623780967,0.009653141632455262,0.932947429026543
0.7041182256676138,0.8227296577994208,0.9975197613148779,0.25491542767121794,0.05056737085834176,0.9260116736253047
0.13515125185114008,0.38813246801899465,0.9095198485792448,0.13145736802789654,0.38379559356241305,0.9488021772799059
0.10424183437078509,0.3682852106017112,0.9054510443300008,0.43736118447418815,0.11168904892440443,0.9634364795703284
0.7015760587808015,0.15732231052924425,0.8478422591375183,0.5196187000459354,0.40700641074044697,0.9010773249445857
0.2695550916603789,0.4822329602973305,0.9345002763446482,0.6642596619013085,0.5875474767213325,0.9357451951128086
0.4474344683136184,0.2977763320344332,0.9597924664198967,0.45202850666534306,0.39565904040782973,0.8880305465034529
0.21436463650672574,0.31193237026592757,0.9282321448407795,0.04968994354674963,0.21678443323909305,0.843929576429128
0.28417156394032406,0.3559360939036398,0.915793591977742,0.632753582304729,0.28922756053701415,0.9315402772885503
0.033081109033978526,0.14495996254251872,0.8613959295062311,0.17351752348246255,0.5304120757871654,0.9487524063174861
0.39982094870240903,0.04343561266316793,0.8505073427591728,0.54304581198899,0.04819635877928487,0.8740456371722856
0.3863160486264154,0.4377377285891509,0.9965713321955955,0.61547436974359,0.5669944727113588,0.933809897105336
0.4985821297140298,0.07402634781966251,0.8995821935507541,0.4574239049938659,0.07914185164757986,0.8492983951943021
0.6762958060511056,0.20297581619369892,0.9866656049423087,0.6454032089723272,0.37824599801303116,0.9566657413695626
0.2420783985321459,0.5111490987525511,0.9893748626477494,0.13922192285745086,0.32900553356433276,0.8299299090521367
0.4652492375385237,0.014966641414942144,0.8456451879738662,0.526278493115469,0.356184057571681,0.8460698800389396
0.10249706073206483,0.3936395422478068,0.8610593790093379,0.3929520138277591,0.29999769562925827,0.8311701094339328
0.3670830156886076,0.2260712460290534,0.9629862867261951,0.21175607703487484,0.2646788828859726,0.850778377289195
0.3857271206885922,0.7314535480182577,0.976761422636935,0.2614694947286823,0.6543843381414353,0.8853007591252465
0.09038710471248912,0.5868544260914532,0.9461721197193744,0.6714572866535696,0.33932767559316057,0.9743340414904588
0.3549291857692736,0.7107472615672461,0.9536324777720462,0.5390896996589811,0.3872033127364493,0.9030730770350097
0.03825061260868376,0.044013302306485244,0.9448153250617471,0.40871157887393056,0.5083197315437344,0.9939393584184864
0.015344120577786965,0.1476275527516213,0.8814060690800991,0.5042948951470401,0.27528217193409754,0.8273999873472808
0.5825600097783417,0.31007388120303975,0.9420253924107187,0.3614573722599413,0.39196296679986187,0.8344764764767219
0.1906685917248042,0.4509349046529004,0.8427173767718834,0.25365888399563735,0.25114728068035,0.8901383353126843
0.5948220953165795,0.5135122019764423,0.9784865213329916,0.6910647187764757,0.18959022229430414,0.9733364341783862
0.46688452960707383,0.13561882774009604,0.8661409182946633,0.6230322971194793,0.3067906905372634,0.9237178292409604
0.5657823843412926,0.42027636071518476,0.9780196473104432,0.3874942165866561,0.4233890697715335,0.8739530894891706
0.10581955747964672,0.3414348866741806,0.855071748775651,0.47831399258161156,0.22480409773501012,0.9122846188130529
0.09835708751152085,0.43486931448335153,0.9627579886279484,0.21312274099480794,0.54692743045812,0.9090139310821721
0.7237433519005592,0.13772672502602706,0.9566957224821373,0.6273429648736464,0.08820936183993938,0.988403615858517
0.32984408272299887,0.8328402479905361,0.89760506603254,0.5386463531080468,0.6007812765486611,0.9785102376716868
0.6143884590998191,0.4896905860725393,0.8710239546393139,0.6182596940583576,0.3352631504587364,0.8776001475645663
0.3639319638778054,0.1553085596940801,0.9509669790705136,0.5012599952753289,0.5552678140110819,0.9209018571273
0.0029570871342590676,0.743316369938795,0.9567901937195769,0.09617919964206235,0.6030598033299577,0.8282044286489857
0.06852421085781356,0.6741270789355329,0.9017133517096004,0.15274592429529735,0.12638124333707296,0.8887765502594102
0.149745701593567,0.7388101404247573,0.9210706445183349,0.47847028669028546,0.5992752513395673,0.8333420309214546
0.014685312259251236,0.36941430925454005,0.9359548742075541,0.25459674611593586,0.438879476462677,0.9901500011617408
0.31489449779321854,0.8209800515402272,0.9479389475412721,0.1484098117766617,0.5638643076316289,0.9960446231258986
0.2670310899202978,0.47904736501614825,0.9814956031783342,0.051086876510048125,0.4382589018511854,0.9184749977594967
0.4143255334393664,0.7635107578949584,0.9339166725669897,0.44723114551256304,0.595793336629773,0.9162550091058583
0.3846902351585342,0.6772518537115795,0.9223087941478783,0.333589041920723,0.4209152639951561,0.8498187707134862
0.6788572574167362,0.8376206917762262,0.8739236946637872,0.01104563303981858,0.5183191317918655,0.9397760496748527
0.022952040535864044,0.78504492202051,0.9356246403702112,0.26518031313956436,0.5337955658764303,0.870334748560351
0.2864258184584806,0.7794182447591826,0.9833058652274946,0.42127129174912425,0.018829249457037994,0.9308858815519541
0.4918430270262867,0.6872485691844361,0.9127975277284939,0.2370980684700184,0.2547443994557428,0.9890456155019562
0.6815183253180045,0.3658617903633532,0.9841592774050402,0.3949440071946552,0.43397823614404946,0.9971002764544877
0.23359205649477804,0.03632976222996202,0.9106977384263057,0.3955984759099042,0.45819417030263115,0.8566728619496804
0.1895924234490238,0.4859839407088374,0.8922449783884945,0.426191000480445,0.09243105429789919,0.8373971239197052
0.020285162455714677,0.16887808937908663,0.9557124376604389,0.665733414447879,0.020789013087294042,0.9682611269992022
0.35901246690740257,0.4771306846984447,0.9960811113965355,0.6478129324673081,0.3236192884288926,0.8968731032572641
0.6588536021104169,0.8357478604074187,0.9358010615628869,0.47426860379836816,0.42702840237248224,0.8615434480961238
0.682755369855819,0.6822837375059267,0.9990606948115515,0.3923844648607283,0.13513735068335692,0.9556218655941701
0.1297438841208145,0.8074941885983509,0.9191568611701773,0.6006857879665889,0.28199332368684205,0.9638255309650232
0.3110509227040976,0.21465994884773404,0.9651375759668256,0.03803508229008092,0.2822249433391974,0.9332512324192299
0.32547286085189014,0.011682237182460559,0.8940946996562917,0.47329543235507837,0.7061859831199677,0.9686925942908651
0.2322852097202387,0.8001545655983286,0.8953126410077894,0.38357228512672514,0.3576006405426562,0.8967251119345054
0.39269084456146525,0.3405078300752162,0.962781392214842,0.3901774038174995,0.2703160163590038,0.8502679119413414
0.11459775129915213,0.30760766135520085,0.8472095834496092,0.6227527361261611,0.5834244454300859,0.9523146880186206
0.027971434859058127,0.11216126703058055,0.890784644831915,0.05602747463362262,0.3585100338274685,0.8830813936357215
