a,b,f,c,e,d
0.6069548857519472,0.1645041311449553,0.9917902473608551,0.004067137332440269,0.1878311154925057,0.9337228159519368
0.7371349471363645,0.3624693126555928,0.9569704035883958,0.48446662576648375,0.3310208927484757,0.780350373552124
0.5996110299622306,0.7570567212829424,0.9115416802958941,0.4000896798374576,0.42079679813565113,0.9517127039054227
0.5429748268750133,0.034804767029619085,0.8957967163995382,0.05859431049312265,0.15776182540817746,0.8642924477737916
0.6922521542677528,0.1417885055653933,0.7980479792605957,0.5591817972276351,0.33649510752702233,0.8030424819860261
0.4106432725254206,0.754778675855574,0.8349124262174569,0.41033721746637,0.5686940065690217,0.8808608328567097
0.8363416611503255,0.45205984455040943,0.8674800904266735,0.4386673814575537,0.5062082011683672,0.8122251165554961
0.17303491520180433,0.33167716325945545,0.7849837510559976,0.11489504472376612,0.574331022276569,0.9500710735561373
0.46420821639787957,0.6791011312618676,0.946378090094792,0.4151835296059573,0.0032923041767535686,0.796636615796137
0.43665936629365043,0.6923349174885451,0.754754735521754,0.4465686015063058,0.29246979677078966,0.8122630464359062
0.7478066835241709,0.18982808222080078,0.9628600622358725,0.05321008535335178,0.4909464523661318,0.8261385607943155
0.10745628431922709,0.4385755963987429,0.7745682758789109,0.061259122508123605,0.22482031750721404,0.7785502518935876
0.13039716032010623,0.16958247620045244,0.7948431257839573,0.10356183353888658,0.33571549316548466,0.8195776623847009
0.24800268012364732,0.5791604400584194,0.892496942960757,0.5859674399637121,0.30791180077554925,0.957384784611093
0.6235114202093318,0.7614848726427044,0.9262999395062552,0.5636031140782958,0.66844457920822,0.8579085445033368
0.8052420506465044,0.36041049392195235,0.9525831946784094,0.648174999810981,0.27352281201065837,0.9443993790594798
0.05641068345320258,0.4514764709359351,0.8981523381785192,0.4101419842550082,0.5544674741382751,0.8293790479283488
0.7038418377369847,0.4232046743178758,0.7931686880845121,0.25815932293592403,0.63849853207036,0.837397961279134
0.5651210539558267,0.45260797845479783,0.8311757078065343,0.5903265136842227,0.5319898393399954,0.9692826428746526
0.1278062152973675,0.522629957042201,0.8541800940039759,0.028468930077976976,0.33553468220566224,0.8850536967690489
