a,b,e,f,c,d
0.8909182345308327,0.057913037290695524,0.043651792682763056,0.08976413607568569,0.3471530520936621,0.884950544617856
0.9992547407309504,0.9139488211957525,0.9521929823101781,0.9363846489760344,0.13657423886668218,0.9063545017522872
0.8065141989320562,0.8061151599251617,0.9590450894789267,0.8675197379960986,0.7921542367836835,0.9060379481576593
0.8291655850863204,0.8544023488518175,0.9221932714297859,0.9223638538700601,0.9298471628612888,0.7571572130117128
0.9984970799218789,0.9998732635099762,0.9219434450703156,0.8739344038235324,0.9712342031307575,0.7505883030199135
0.8570308293796397,0.9433333444946033,0.9159857148152931,0.899653372878423,0.8221124598338874,0.7990234655717114
0.948605087809708,0.8970877975515297,0.9162521346714761,0.8735298161948645,0.9025668044286376,0.8581107696036502
0.8541487423370042,0.22695887776298385,0.7619010379573329,0.44700510059897575,0.8282776040716775,0.9044322732929096
0.938129813220154,0.6800308666415816,0.6325107873544612,0.22662922181435016,0.35671306808530817,0.7853710234240169
0.872900944218016,0.872000173196722,0.9462617759038076,0.845622043802436,0.29809699515858684,0.7794196099866908
0.9891661072735591,0.9932028506026456,0.9494227638506937,0.8778761990310625,0.846418561774748,0.8154869215973831
0.8189438062755032,0.9773434773638933,0.9327546196269682,0.9091289134494003,0.9181750465482196,0.7658707627581682
0.8680514035959407,0.9089095513479266,0.9087651662552442,0.9529365775115822,0.9196957216454918,0.8095318242477072
0.9927415963024041,0.8592628715729566,0.987626060125464,0.8684838194737219,0.9268812690156442,0.7945785733227885
0.9263256501251395,0.8504369698688858,0.9165204909486473,0.9661731603248368,0.9586675440567287,0.8463409843022205
0.966152808819296,0.7600220380450167,0.5481192863620075,0.6246203872421027,0.8269962761110795,0.7962909771206093
0.9644980998513286,0.07957775859932684,0.1650313323673083,0.3505639181723403,0.7470675674682795,0.9570371351601712
0.8279191144680252,0.9726902098604134,0.896035941141073,0.8908171757515757,0.6880633906180257,0.8513826070202675
0.8599610748678922,0.8408743638849596,0.9463091524455384,0.858653515916166,0.8022898562768785,0.9315018312571295
0.8935286503372384,0.9118963403519627,0.9116468702583943,0.8473913808831631,0.8576296214269569,0.9252163068805702
0.9881081789286291,0.8887967560819955,0.9378761824272637,0.8717926030502553,0.8902294651415273,0.9111514966809788
0.9465850304613738,0.9296594412260161,0.8927783165129484,0.8993877616983973,0.905653328045508,0.8102232898923372
0.8337971756461406,0.896690683672088,0.9145253106793995,0.9363737920931723,0.8253993805758083,0.9399306179646498
0.8205872143064288,0.3900903086679532,0.6228863235730722,0.63785818039995,0.8331797652766323,0.994836338984583
0.8139684271132893,0.5026905793008485,0.1764979610577305,0.0479514160978028,0.04133472070662559,0.9448624851522552
0.8174515009229761,0.8096697152006354,0.9290668660287728,0.8461372226162686,0.7443064108853354,0.9048323350092873
0.8055764583927623,0.8492219619110356,0.9835509435421224,0.841368614380762,0.9383665164083158,0.9103409099378091
0.846807755513574,0.989273439591672,0.9106947083375294,0.9557393845709472,0.8745000455813955,0.7437205151728228
0.9567683476921209,0.810373891822115,0.9563236024612458,0.8410983827268691,0.8831046712156788,0.79228105712671
0.8393757468586543,0.8254746553399032,0.9786623779228125,0.879748597689174,0.9374694887970502,0.775679439122871
0.9538838268695724,0.870331489095372,0.9365543249692201,0.8863878153943412,0.7824490994398582,0.9229900285492945
0.9417426426836057,0.7926577117356957,0.7391715117196829,0.03177911893373479,0.8110293945303539,0.9914480689792737
0.8245064466738441,0.6426857891947009,0.1107828218348909,0.35662612057276777,0.5575577888234965,0.755593687342168
0.8836433086673953,0.835862491023649,0.9953105696438737,0.8976801095413564,0.46378404799755524,0.8068379702599567
0.9009163822655305,0.9231479074443578,0.9564759347713467,0.9528167102857629,0.8066322970925144,0.7944391567724315
0.8324979224241903,0.815012617015062,0.9192746330660115,0.9869509362428415,0.968135715472203,0.9486939379167771
0.9393043028309085,0.8021756255728515,0.9236437364393052,0.8728959908231031,0.9826995627720599,0.8879888150399954
0.8312418211359387,0.968990290598416,0.9311775313129675,0.8515762883050799,0.8733298344156053,0.9586870562101169
0.9997663315076224,0.9124136811964102,0.9356019619992169,0.8789160773306329,0.872541854168459,0.8208740568966865
0.9852389860033445,0.6546497599245484,0.8593366887832167,0.13626690063715582,0.8338403520040065,0.9391746184200662
0.8163039773923321,0.32822069126730763,0.862104692529026,0.6213833954176988,0.6233982310037466,0.8505516661634216
0.8043584023238527,0.8086979368692501,0.9363223152958557,0.8770931294504419,0.6768170162938364,0.9901569350118389
0.8660142222285362,0.9698206451823975,0.943169722231152,0.9177430440807451,0.9439700596087915,0.9389499772460846
0.8461515658941114,0.8887096588800554,0.9611839350275007,0.9322191811461291,0.9319550639294484,0.9716069066990494
0.9870380264707828,0.8644217899702966,0.9679842016284022,0.8511623623121598,0.9462833925570788,0.7699435601987284
0.8064326949951894,0.8258878941788202,0.9741804653076755,0.9939773739284046,0.7943351317379466,0.9755001895676209
0.9282067756161925,0.8451854352260204,0.9278572988773222,0.9473777393009911,0.8747207432321435,0.7877564610312332
0.851831439878764,0.5978578306164581,0.6321980557351135,0.012150529962349065,0.9888898847584133,0.8121552913588803
0.975563323775802,0.3399656449268824,0.20293168164834097,0.3126801733273294,0.13089552336702798,0.8391671865112359
0.9189420020774675,0.8365824154173879,0.9817531974659723,0.9290932255476553,0.03778472345957861,0.8269177157792098
0.8151515805285542,0.8144415094611572,0.9095920465144376,0.8988303926794481,0.9182070235725522,0.9887783219414593
0.883565453838956,0.8900728122619165,0.8933086170661677,0.8877779791430116,0.9621072313960501,0.8663101584581757
0.9434458468753453,0.8350972320881571,0.9587509644494212,0.860168795554319,0.991001458645163,0.9859191333985152
0.8532906504358432,0.9325115340444654,0.9834190745161064,0.9574609190970964,0.827695386075221,0.9292431304028317
0.9384366038484694,0.9494764928858765,0.9713185914693085,0.8648465767134148,0.9941206034783252,0.7565747365584216
0.8084708451507195,0.0444444860260262,0.7901722005398714,0.59021599726226,0.8741618882607435,0.904177178152364
0.9766966394440566,0.7154291563350815,0.8676125210101897,0.8047289107197301,0.25521976391883405,0.8252772149012705
0.8269961496884755,0.9790904767603192,0.9484514201131208,0.9270219598643584,0.3364515591822434,0.8034946289894522
0.9636411097001716,0.9301521730174301,0.9096248390773963,0.9326550520384922,0.8728992017402851,0.7846383336500824
0.9612612308674613,0.9564512793565394,0.9960866806528206,0.8536190826351787,0.9481056312773599,0.8332259725941571
0.8963889064025321,0.8421522796853124,0.8931650511933333,0.9225791051298575,0.7882438846295923,0.9917825382168837
0.9978150429639712,0.9242978345969122,0.9745669170727265,0.9985359690951409,0.95034983176696,0.8786973905659492
0.8662570519509349,0.9473160813255176,0.904410163647153,0.9967752538737826,0.9310255316926416,0.8832220118237601
0.873679832432265,0.24385667435556302,0.01580921933896059,0.7598487197946722,0.7869528975086708,0.878098071772579
0.9314916984927276,0.21938433318262565,0.04498549458751386,0.6294758541205211,0.11899264994969982,0.8930704437238945
0.9411091540724326,0.8810078903598277,0.8927083479190023,0.9836630426596837,0.469040199311835,0.865386028858715
0.9830177570878407,0.9170572541938434,0.8966778000729761,0.9093448465183419,0.8421178406651627,0.743505007257547
0.8184083339309672,0.90782175073968,0.9930703895419213,0.8424742344993457,0.9519699763782965,0.8133779221076083
0.9029783649742259,0.8310051370299316,0.9027162471981282,0.9678857274654378,0.8106676801947548,0.8078397706316487
0.8108658225647407,0.8895766097480503,0.9917832198249836,0.9912571434554269,0.8788059774941854,0.9946883847876067
0.8095122433557779,0.8515911953080788,0.9167950993692623,0.9679907090249995,0.7847511077522813,0.8289015925279628
0.8920339243635106,0.0068926133854589015,0.5586934119317872,0.41026751551901514,0.8101456821213313,0.7806784932333243
0.9429245928409907,0.6019640968775573,0.7645091146998682,0.5785074976772137,0.7760182916815921,0.7738587999551301
0.9018078690964288,0.9171283257949124,0.9632445722424781,0.9688015377969545,0.22338563332385863,0.980815309064569
0.8269969143442649,0.8076039904315627,0.9332148449024195,0.8616833158446068,0.8221807133015994,0.9561387660426163
0.9546901134119024,0.8223793095320189,0.9110782964490907,0.9626702714296208,0.9955281741051368,0.8351114421343899
0.8786519844663818,0.9933313378388506,0.9166750077707055,0.8789221584428264,0.9991344283727105,0.74737812943327
0.988752451709071,0.921964418740101,0.9051106979012205,0.9127170251100825,0.7844139530234054,0.7990284004802047
0.9783785437874524,0.8095969831010634,0.8901653777145736,0.9478395576499581,0.8585021490763641,0.9972347154064649
0.8270267648324545,0.6381086643568236,0.17107453449717333,0.3588764703430388,0.8337085551509377,0.784990478074717
0.9639060722882521,0.30744439826915504,0.24895499089411888,0.25326563894620036,0.2958068533889644,0.9732954522712371
0.9387324023387104,0.9909658007190683,0.944177361932867,0.8800671346091901,0.08645265597483857,0.916522201509429
0.8953048354573503,0.961591229416614,0.9259443666149834,0.8925777659787834,0.9468905843493058,0.8432425195833098
0.8699488104342341,0.899590474630823,0.9088692180381707,0.8747501487520863,0.9503805032369173,0.7520933934990359
0.9261804887682454,0.9884069207675166,0.9589784399239728,0.862162247788806,0.9310345054268621,0.8900505627299945
0.9613171213841674,0.8647034067368706,0.9955774672527544,0.8761211243652735,0.8310896896886151,0.9252815914881923
0.8466639039700055,0.8309903108874607,0.9871487600374087,0.8623173235571483,0.8116307584252478,0.9596542286965445
0.8598700671836125,0.6741533672510873,0.36115751051904676,0.7808363532001906,0.8161194831541603,0.8280578712756088
0.8403617375392205,0.7547291839095154,0.5860909805225514,0.34140316462487813,0.4303984299957184,0.865303646112112
0.9502215696594238,0.998204362263096,0.8932423520865747,0.9551109805243447,0.3842898936834115,0.9239588726305945
0.8487278274680139,0.8985105455083917,0.970541137784617,0.9462332609209407,0.8790543685998137,0.836042327270368
0.980054531212693,0.9384812255419919,0.9843311811853972,0.9649062273325058,0.8130200649792161,0.8552969449310153
0.9795728977769119,0.9036335619847962,0.953014810959893,0.9057115323845986,0.8143646299649707,0.8158952803758998
0.8983464612735778,0.8769546939616769,0.9746590445098382,0.976068503221964,0.9695029653662095,0.9044041679119867
0.8266874782152009,0.9621522489236438,0.9502607135349804,0.9745697617075899,0.7933382764643248,0.8762441188289528
0.9779723815230371,0.6999030454964486,0.4015346430393482,0.335379929951962,0.9346240109746045,0.9137004150520034
0.8163103802160231,0.34019895914281567,0.655828775211197,0.4160829215830067,0.22184477092571214,0.990875917092412
0.8616122153382175,0.8898702617510169,0.9896374504958492,0.9573208071314376,0.2714843998270145,0.9711148707449173
