a,b,e,c,d,f
0.32456601362391163,0.49356398984037625,0.6119162972102061,0.9698506944530602,0.4320528775656255,0.7970955230310167
0.4680193460481604,0.6941079404274727,0.02450451731221002,0.9595902796065733,0.8106994164633388,0.8680957577777092
0.7231591629248418,0.8199170827398236,0.2456185546505973,0.9515539645336294,0.8981593405555512,0.9404850292609702
0.6634052618099963,0.06219578341540573,0.6121329764488814,0.8672063336223506,0.8256548681484603,0.8922053971289178
0.6943191689473014,0.6669576397369272,0.6487335086217075,0.9864754507190012,0.8844002108787983,0.863201409709145
0.5381260618769814,0.4127702947267913,0.31406180912327736,0.8812485865287549,0.9408881552169369,0.9285511986915664
0.09249319460222874,0.405769843206874,0.10874236025939536,0.9223369138187252,0.8765055054719999,0.8863353049813758
0.016722063132600933,0.3938722640962735,0.1420275305977525,0.9402900388411278,0.4183348146611044,0.8517188557139449
0.6974362059267234,0.6819135699538532,0.773131411013342,0.8881975215855634,0.13745148899188955,0.9751942879204434
0.29550907050023284,0.4632161487879323,0.41930981893468017,0.9973041462887557,0.8352529352523845,0.9610167976443198
0.09791698124526885,0.22529450618586433,0.5985889582575278,0.930612719170465,0.9857454358412169,0.9520360354977573
0.053063962557240246,0.07279104034614105,0.6418463767950048,0.776158397787667,0.8157429133748891,0.908218634348833
0.46890887850432256,0.08492507928317235,0.30680899701568054,0.8394317047956659,0.9870168887271366,0.9269852294008094
0.6340295166806337,0.40744723690819495,0.7299369094412436,0.7742321191761861,0.85242526996538,0.9927040418188855
0.626515188249633,0.825353504095963,0.28154535947232423,0.9742464521504364,0.8505850237533781,0.9237765923358414
0.2824258543904331,0.4250480800005529,0.42949741548299525,0.7936765873347685,0.5542334368111431,0.8930374608131034
0.11849040041689785,0.5983254615668507,0.19045198194361979,0.9126207797966095,0.20884814097464557,0.8155532050183526
0.570989174186364,0.7367557112748562,0.6508125611022868,0.9632819701991363,0.8740333458893803,0.8098646915640815
0.050622321625499275,0.7794989157985904,0.46605189579260226,0.9210882658054513,0.936756499316582,0.8707014381994475
0.13120485715056848,0.1061191460074835,0.6929660452522083,0.9758622001030739,0.9400795254993449,0.8738602540514108
0.01812891850794094,0.6107315994403388,0.4632973417507296,0.757042876640485,0.8170419596968086,0.8771486543800597
0.43450550901329155,0.5015468783678255,0.11694280420325669,0.9644721711541511,0.8429506954508713,0.8534599722047639
0.49985103140140097,0.6169926157080166,0.2550780655179094,0.7751291986205912,0.9553420050672659,0.8268222905689654
0.6690986718948883,0.8242720403875932,0.15287191875195935,0.9334082222980593,0.1710265865170704,0.8549055159230665
0.11866686096091118,0.6008321911224814,0.14799529725115043,0.798268087199283,0.7046981483897528,0.9619137723496815
0.03266794102702804,0.2566191256476212,0.5722774752056189,0.9547543858996155,0.8243248642246647,0.833100392429062
0.17488288010462708,0.08653076616561625,0.4288916571863476,0.7780232711931273,0.8109416743724251,0.9387721731936681
0.6990572756428844,0.030453478204412774,0.2895096554565668,0.8732524460608959,0.816334277684796,0.8881648377470612
0.5390413345833829,0.8561324412541178,0.41124354167672234,0.8995243794781733,0.9545395079471294,0.9271723451608489
0.23984143579681702,0.5484639059520069,0.3734757921766003,0.7353887529563331,0.9401272217246996,0.8687413856305384
0.6007799959086194,0.8061239273230469,0.5316752785609882,0.8905097133713175,0.9191705577948848,0.9166256680650657
0.7739526088873716,0.1686257200651598,0.3409265633957889,0.7438359418808308,0.6118063428086181,0.8139476907486448
0.37826129407056097,0.5446009530355537,0.16400427421005564,0.90317339781359,0.7144468556598145,0.8765061225004359
0.1362871357655923,0.3759720852405657,0.10834700338022345,0.9671422302872872,0.8262003190084991,0.8728907954555724
0.4593185371318179,0.48088908847225115,0.16256868125660193,0.8482676033600374,0.962554320693509,0.9408833912421264
0.6341825857201242,0.5602024028828393,0.16093518910185742,0.7759459835099742,0.8339224652538216,0.9430401854654551
0.5627309766594951,0.0920607304388212,0.26046534193974147,0.7377481677362154,0.8179513987828285,0.8908622288688305
0.655282517377302,0.25023426602226223,0.06794013761812094,0.7995414202355371,0.8934649853658948,0.8737198033328619
0.6847272846320932,0.7908723255415712,0.48230400467109946,0.8878805751994133,0.8752857650556005,0.9397772381241394
0.5389317784170485,0.6639197916157085,0.6749807506488051,0.8747540637609273,0.745548053956714,0.9100604588451552
0.22125605924481048,0.4521989875517805,0.44014064295404154,0.7487807027564275,0.22298935455279698,0.9711836249715033
0.35995922556847004,0.5490726745834202,0.3558497979623347,0.9541183366909191,0.9944447010757695,0.9024365993515631
0.4211825187306106,0.3023109565409154,0.12543333641395202,0.7446677026746131,0.7969616329915453,0.9000746679328366
0.7717160508602006,0.4436477018644813,0.6322469711386659,0.7939456581902735,0.9807230598772758,0.8798621472802195
0.5350502218363145,0.1408345717471842,0.10264020577428967,0.830162626799089,0.9770447515287362,0.9045876083094662
0.4412374105866696,0.6114675730854323,0.11791448273821885,0.9145871587101659,0.8867484756598549,0.950940905387759
0.5970015601004233,0.08449018499976355,0.6479741079107619,0.9081107810533022,0.8388065067902762,0.8807507668800653
0.6442036998630633,0.3394049577271891,0.5534074790233621,0.7736989655501583,0.2058153106408984,0.9562377197213892
0.250840990154787,0.6678612367949314,0.39938919875660894,0.9634196240603217,0.030771940584095384,0.8299069710843954
