a,b,c,d,e,f
0.3776712889405201,0.5713629062896867,0.3674669793582629,0.6929566488220886,0.4802144606188364,0.0759451623864818
0.6647259872680426,0.4271245804514271,0.05154455688401036,0.10327368272541296,0.7528011091141347,0.8996183753646593
0.7080481257520437,0.7571985988509267,0.9569998704817937,0.08283672970210897,0.7157995424072163,0.4640906246332222
0.7236236464960083,0.3269313635859036,0.92871478646922,0.9800199662008067,0.7908753040920221,0.8732419351040942
0.8362520029267263,0.29336209264950797,0.043190809964643355,0.49187419962576145,0.061713123302182975,0.9708265104593743
0.14764929916270364,0.891315744803124,0.9240305956155387,0.07932132763837729,0.17104264388644616,0.629090008757072
0.171627145814163,0.3501563943962614,0.9870474539666472,0.8394278525348103,0.9204048610574069,0.8609192647425805
0.6201860809233894,0.0057201927313642875,0.6582969396574596,0.21085808186090352,0.11300976531616085,0.8129458212446304
0.15565849568636733,0.6422117817047879,0.5050555675606577,0.4211809472033947,0.5020577181329865,0.9477355568187366
0.7114758905027899,0.0154088297509552,0.3723342677100722,0.6937545663032706,0.6143846865090804,0.4540684850161077
0.5126262398532025,0.7475302536164757,0.203400660419448,0.7689344224716586,0.3455729418539703,0.6633589973628687
0.866018177455153,0.0766536626640845,0.22666596233083405,0.4574798162403481,0.8705266009065509,0.24002174198858708
0.22310142203144778,0.791036089809709,0.8884448103743837,0.25987095155016754,0.39860202507936016,0.00325974411333418
0.7345675743559741,0.6101124761297005,0.8840636297464227,0.8592508347664589,0.804948741132145,0.8299032145010228
0.44851964162231406,0.27031572252425373,0.5340428365602576,0.03606316999237569,0.26656587249663954,0.88673380270995
0.505940914881458,0.217041744097424,0.8875358204886498,0.3156385437143243,0.39150037030257945,0.6544086229840776
0.6166656316939361,0.6951338630453304,0.7779908531318778,0.27606509576495464,0.4867600450641091,0.9135417012936318
0.7754114480211545,0.8704190071718441,0.5694053493029468,0.43130324150227717,0.6484419695030005,0.6431690144229415
0.38368291714821595,0.11363516570686552,0.9063948055647426,0.8800810556374452,0.98597976479406,0.4452275511821774
0.5264508298900563,0.14243610469006238,0.5018666961165692,0.6896947527227922,0.4602192558436405,0.8410122860904983
0.03625602319597666,0.19996382614475672,0.5766296504779582,0.1838619551187647,0.7551567647417695,0.7076984163469825
0.47639302935147254,0.8958044509151437,0.5178247520240409,0.1974783857792406,0.6406755973241004,0.6341950961681009
0.12339598887802927,0.708905522174085,0.970845064679538,0.8911046109821523,0.9184083413670935,0.4560816885868239
0.07533906818895815,0.8581388693923024,0.7815684308610766,0.4371079025151763,0.5826047049638966,0.9295432660005372
0.6622010818829616,0.22858042827274852,0.9309921566734545,0.8013050762698757,0.8820578783912416,0.01388148368434078
0.5499236473286724,0.7221187371199542,0.865203262092411,0.05224520461180494,0.6283081438915376,0.832563080582378
0.30828274090996605,0.7310058771063165,0.05851658036399893,0.1192921993364192,0.5917980880493978,0.19966299601825716
