a,b,f,c,d,e
0.49263884059460933,0.8889684925130727,0.7501918683515405,0.8869903516115022,0.6981399292934236,0.29488364854724625
0.8599328074992573,0.9919439979641861,0.20346438727272798,0.9792184797946921,0.8896382321878614,0.9776133556958344
0.15799044190174555,0.9065595577040744,0.09461577177471266,0.883075737348227,0.8944234392733761,0.9721521791911644
0.1825051071373581,0.8968068857508528,0.869126524606221,0.8220318389962081,0.8969775592756544,0.9632211644797081
0.6215886242515721,0.8814656104669624,0.7446820389774603,0.9512581158597821,0.9138047461011497,0.9291981971205211
0.1647863695469474,0.9769911542134809,0.1504024510703721,0.9945079942788847,0.8919709238303366,0.8915580912262016
0.7836422522984612,0.9042432624485564,0.1396523036193604,0.9315870275635437,0.9465517535223326,0.9748447600454357
0.6388197827139619,0.9026853630054882,0.500838800165924,0.8924484877979862,0.36268856955895323,0.5505434057839325
0.0953237821022467,0.8923233087296513,0.7222131363668162,0.985794149135047,0.5906887925692349,0.3375569435269677
0.4970931899473618,0.9657672697993162,0.2844400387977546,0.9689331526496084,0.9524009694601593,0.9925300478043969
0.0808837092908873,0.9158163296653589,0.4306975325969992,0.9564701351925913,0.9447641010748736,0.958356895671121
0.619365851958427,0.8898147205990903,0.7483740284065881,0.9360414078405717,0.8972975487178448,0.9101532555742848
0.048415416833105,0.947955607226193,0.8269048807925137,0.9398377385024376,0.9944979372433861,0.9949393798151165
0.5290561020459316,0.9365129398993768,0.7223354170874334,0.9530353592463026,0.9892958242913811,0.8904710610857122
0.020416236962584985,0.989346987148872,0.34292674522496985,0.8586502318891309,0.9778415026189846,0.8884190454027255
0.8389496677558047,0.9161542154967464,0.1423514945161387,0.94229729098473,0.7331966858504201,0.10039818623600093
0.27454061636679866,0.951823797782529,0.508007788941912,0.8401178672023437,0.3130601788459234,0.6728381806104781
0.2785524900090731,0.9642227627565213,0.1904081643318626,0.9956261047883008,0.9361081561232143,0.9664727642113283
0.7624838143733522,0.9684243367440617,0.1467659391428905,0.858908985838425,0.8790728836143392,0.9613769137486179
0.5558681947053252,0.9026757422781891,0.5094100167764708,0.9820708153451889,0.8618829114300122,0.9000060249135857
0.10801977028405467,0.9298900253871215,0.14358482621086557,0.8747920546682648,0.8768821475017253,0.9701091330528948
0.6820573543779315,0.8901931938050996,0.03556152084756365,0.8714440811657699,0.8930674911361522,0.8886000620634498
0.8194895776782642,0.8855690717276961,0.6471056190498321,0.8313409459359464,0.9322745759652218,0.9414451762935725
0.6456131916453838,0.910001340563635,0.5004976333669872,0.9157919762817491,0.2753534372721381,0.10384255963028445
0.05842271415979881,0.9522200717868777,0.677785850339349,0.9173528734291726,0.44921482433791216,0.22830209479918556
0.24424618419601954,0.9204034880293935,0.42177442700085704,0.9342584074648627,0.9342210377737177,0.9677767471919336
0.5755707588946404,0.8903162631599159,0.30879461994657836,0.8385640119304341,0.8653501889098046,0.8904134171436691
